customer_id,age,gender,city,income_bracket,tenure_months,card_type
C100047,37,M,Lake Larry,Mid,122,Gold
C100048,38,M,Samuelhaven,Mid,145,Green
C100049,55,M,Martinezbury,Low,145,Green
C100050,29,F,West Andrewside,Affluent,115,Green
C100051,41,M,New Jeffrey,High,1,Platinum
C100052,41,M,Lake Crystalbury,Affluent,12,Gold
C100053,50,M,North Micheleland,High,103,Green
C100054,42,F,West Elizabeth,Mid,4,Platinum
C100055,43,M,New David,Affluent,170,Green
C100056,24,F,Sanchezfort,Low,141,Green
C100057,29,F,Leeville,Low,98,Green
C100058,25,M,Gomezchester,Low,106,Gold
C100059,21,M,Shieldston,Mid,85,Green
C100060,42,F,North Richardmouth,Mid,121,Gold
C100061,35,M,East Jamesside,Mid,132,Platinum
C100062,42,M,Taylorburgh,High,82,Green
C100063,38,M,Stevenland,Mid,19,Green
C100064,40,F,Mortonside,Mid,130,Green
C100065,52,M,North Deniseside,Mid,12,Gold
C100066,38,M,North Sarabury,Low,81,Platinum
C100067,45,M,South Todd,High,74,Green
C100068,34,F,Port Richard,Low,98,Green
C100069,47,F,East Nicholasfurt,Affluent,6,Green
C100070,24,M,Saramouth,High,136,Green
C100071,21,F,Rodneyside,Low,125,Gold
C100072,61,M,Mooreport,Low,51,Green
C100073,58,F,North Beth,High,11,Green
C100074,21,M,Lake Leeton,High,127,Gold
C100075,37,F,Shawhaven,High,140,Green
C100076,39,F,North Susan,High,73,Gold
C100077,45,F,Port Jacobland,Low,2,Green
C100078,57,M,South David,Mid,8,Platinum
C100079,26,F,New Brooke,Low,139,Green
C100080,26,F,South Dianeshire,High,124,Platinum
C100081,37,F,Sarahborough,Mid,53,Green
C100082,27,M,Johnfurt,Mid,10,Platinum
C100083,21,F,Lake Debbie,Low,112,Green
C100084,35,M,Stewartland,Mid,8,Gold
C100085,47,M,South Christineshire,Mid,36,Green
C100086,37,M,North Amandahaven,High,106,Gold
C100087,44,M,Davidstad,Mid,14,Gold
C100088,43,M,East Mikeburgh,High,86,Gold
C100089,26,M,Bassport,Mid,149,Gold
C100090,38,M,Lake Lisaport,Low,50,Green
C100091,21,F,East Josephville,High,167,Green
C100092,32,M,West Juan,High,20,Gold
C100093,38,F,Lake Matthew,Mid,87,Green
C100094,37,F,Williamview,High,135,Green
C100095,23,F,North Cynthiaview,Mid,137,Green
C100096,26,M,North Matthewberg,Mid,129,Green
C100097,41,M,Evanmouth,Mid,154,Gold
C100098,47,F,Hoffmanville,Low,166,Gold
C100099,35,F,Lake Rebeccaside,Low,38,Platinum
C100100,35,F,Port Mikeside,Low,44,Green
C100101,48,F,South David,Mid,86,Platinum
C100102,29,F,Michaelton,Mid,44,Gold
C100103,56,M,Jasonbury,Mid,74,Platinum
C100104,23,F,West Kimberlychester,Affluent,119,Platinum
C100105,49,F,East Michelle,Mid,122,Gold
C100106,43,M,South Angel,Mid,134,Green
C100107,64,F,Kimberlychester,High,145,Green
C100108,25,F,West Erik,Mid,51,Green
C100109,21,F,South Monicafort,Low,38,Centurion
C100110,51,F,East Lisa,Mid,152,Centurion
C100111,21,M,Baileybury,Low,51,Gold
C100112,44,F,North Donna,Affluent,10,Platinum
C100113,51,F,Murphyland,High,120,Platinum
C100114,42,F,Michaelhaven,Mid,149,Gold
C100115,40,M,Frazierside,High,70,Gold
C100116,42,M,Sheilaville,High,85,Gold
C100117,47,F,Gregoryview,Low,57,Gold
C100118,44,M,North Candacestad,High,126,Green
C100119,24,F,Samuelhaven,Mid,39,Gold
C100120,58,M,South Rachelborough,High,33,Gold
C100121,38,F,Bradleychester,High,18,Gold
C100122,43,M,New Saraside,Mid,57,Platinum
C100123,45,F,West Ryan,Low,96,Green
C100124,50,F,Cindyville,Mid,48,Green
C100125,49,M,Williamchester,Mid,42,Platinum
C100126,39,F,Richardport,High,27,Gold
C100127,38,M,East Robert,High,74,Green
C100128,42,F,Byrdburgh,Low,110,Gold
C100129,50,M,Richardtown,Mid,180,Gold
C100130,25,M,Justinchester,Mid,170,Platinum
C100131,45,M,Stevenmouth,Mid,32,Gold
C100132,28,F,New Thomas,Low,26,Green
C100133,58,M,Lake Christopher,Mid,25,Gold
C100134,42,M,Clarencebury,Affluent,75,Platinum
C100135,33,F,Jeffreyborough,Mid,23,Gold
C100136,42,M,North Brandon,Mid,57,Platinum
C100137,38,F,Carrland,High,180,Green
C100138,36,F,Perryshire,Mid,126,Platinum
C100139,21,M,Lake Heather,Affluent,87,Platinum
C100140,26,M,Rossberg,Affluent,31,Gold
C100141,36,F,Port Michelleville,Mid,64,Green
C100142,21,M,Robinsonhaven,Mid,33,Platinum
C100143,31,M,Williamsbury,Mid,2,Gold
C100144,32,F,South Dennismouth,Mid,18,Platinum
C100145,29,F,Stephaniemouth,Low,175,Green
C100146,46,M,Rivasside,Mid,161,Green
C100147,28,F,Merrittfort,Mid,84,Green
C100148,38,F,Greenbury,Low,35,Gold
C100149,34,F,Katiehaven,Mid,179,Gold
C100150,36,F,Simsview,Affluent,114,Gold
C100151,55,F,Jonesport,Mid,146,Gold
C100152,39,M,West Matthew,Low,110,Platinum
C100153,42,M,East Edwardfurt,Mid,88,Green
C100154,29,M,Lake Jason,Affluent,72,Green
C100155,44,M,Russellside,Mid,125,Platinum
C100156,44,M,Perryborough,High,30,Gold
C100157,43,M,Priceshire,High,172,Gold
C100158,24,F,Port Nicoleshire,Mid,53,Gold
C100159,31,M,Woodsstad,High,138,Gold
C100160,53,F,Karenchester,Mid,87,Green
C100161,30,M,South Jeffrey,Mid,180,Gold
C100162,55,F,Tuckerfurt,Mid,177,Centurion
C100163,31,F,Elizabethfurt,Mid,139,Gold
C100164,39,F,Port Tanner,Low,164,Green
C100165,35,F,New Amanda,High,161,Platinum
C100166,28,F,Vargastown,Mid,175,Green
C100167,28,M,Lake Roymouth,Low,13,Green
C100168,30,M,North Jorge,Low,40,Platinum
C100169,39,F,Jasonmouth,Mid,89,Green
C100170,47,M,Kathleenfurt,High,68,Platinum
C100171,38,M,Karenchester,Low,42,Gold
C100172,37,M,Maryfort,Mid,147,Gold
C100173,51,M,Lake Amberstad,Mid,94,Gold
C100174,38,M,Lake Casey,Mid,19,Green
C100175,32,M,Port Anthonybury,Low,23,Gold
C100176,27,M,Port Andrew,High,54,Centurion
C100177,51,M,East David,Mid,65,Platinum
C100178,34,M,New Staciemouth,Affluent,140,Gold
C100179,31,F,Katieburgh,Low,24,Centurion
C100180,30,M,Port Loriport,Mid,34,Green
C100181,51,F,New Anthonyport,Low,53,Green
C100182,31,M,Sandersborough,Affluent,136,Green
C100183,48,F,New Hannahbury,High,18,Gold
C100184,35,M,Lake Kendraville,Mid,57,Platinum
C100185,24,F,West Amandastad,High,112,Gold
C100186,34,M,New Deborahtown,High,5,Platinum
C100187,37,F,Shortville,Mid,154,Gold
C100188,36,M,Yumouth,Mid,158,Green
C100189,36,F,South Gregory,Mid,13,Green
C100190,34,M,Christinaside,Low,83,Platinum
C100191,29,F,Marshallshire,High,29,Green
C100192,38,F,Marcusbury,Affluent,3,Gold
C100193,43,F,West Nicolebury,Mid,90,Green
C100194,21,F,Hudsonfurt,Mid,104,Green
C100195,52,M,Anthonymouth,Mid,123,Gold
C100196,21,M,South Jason,High,76,Green
C100197,38,F,Matthewview,High,130,Platinum
C100198,43,M,New Stacyland,High,108,Gold
C100199,31,F,Lake Richard,High,156,Gold
C100200,21,M,Lake Thomas,Mid,82,Gold
C100201,36,F,Westtown,Low,77,Gold
C100202,39,F,West Jeffreybury,Low,2,Platinum
C100203,25,M,Elizabethstad,High,127,Green
C100204,28,F,Transtad,Mid,135,Green
C100205,48,M,Barajasside,Low,26,Green
C100206,39,M,Michaelmouth,Low,88,Platinum
C100207,21,F,Kristopherbury,High,16,Centurion
C100208,42,M,Lake Jamesville,Low,151,Green
C100209,27,F,East Javier,Low,168,Gold
C100210,29,M,Hillshire,Mid,73,Green
C100211,40,F,Tinaborough,High,32,Green
C100212,39,M,Jeremyburgh,High,15,Gold
C100213,33,M,Alexisside,Mid,141,Green
C100214,32,M,West Brandon,High,5,Gold
C100215,35,M,New Kellyberg,Mid,74,Gold
C100216,29,F,Garciatown,Mid,52,Platinum
C100217,49,M,Taylormouth,High,77,Gold
C100218,21,F,Jackton,Mid,169,Gold
C100219,35,M,Shelleyfort,High,110,Gold
C100220,21,M,Port Cameronfort,High,178,Green
C100221,48,M,New Crystalton,Mid,143,Gold
C100222,35,M,East Lisa,Low,106,Green
C100223,26,M,Christopherbury,Mid,127,Green
C100224,45,M,New Kathybury,Mid,7,Gold
C100225,21,F,Hayesmouth,Mid,40,Platinum
C100226,41,M,Michellechester,Affluent,156,Green
C100227,50,M,Ashleyton,Mid,160,Green
C100228,39,M,Port Jaredborough,High,99,Green
C100229,32,F,Donnaburgh,Mid,143,Green
C100230,24,M,East Andrea,High,85,Gold
C100231,49,F,North Ricky,Mid,65,Green
C100232,48,M,Carterbury,Mid,132,Platinum
C100233,30,M,Jasminemouth,Mid,11,Platinum
C100234,31,M,Lake Jesusview,Low,108,Gold
C100235,51,M,South Danny,High,26,Gold
C100236,43,F,Lake Edward,Mid,165,Green
C100237,21,M,Margaretland,Low,151,Green
C100238,35,M,East Laurashire,Mid,85,Gold
C100239,35,M,Scottmouth,Low,168,Green
C100240,40,M,Hollyview,Affluent,151,Gold
C100241,38,F,Kimton,Affluent,123,Green
C100242,32,F,Navarroview,Affluent,144,Green
C100243,39,M,North Jeremyshire,Mid,68,Green
C100244,33,M,Port Emilyview,Low,104,Green
C100245,75,F,Port Katelynfort,Affluent,80,Platinum
C100246,39,F,Moonburgh,Mid,159,Green
C100247,37,F,Waltersfort,Affluent,53,Platinum
C100248,58,M,South Michaelmouth,Affluent,106,Gold
C100249,22,M,Elizabethburgh,High,153,Platinum
C100250,36,F,Robertfort,Mid,44,Gold
C100251,27,F,Elainefurt,Mid,140,Platinum
C100252,44,F,South Christopherview,High,90,Green
C100253,32,M,Darrellfurt,Mid,101,Gold
C100254,44,F,Lake Mollymouth,Low,97,Green
C100255,43,M,Brownhaven,Mid,9,Gold
C100256,46,M,Cindyfort,Affluent,12,Gold
C100257,43,F,Wolfborough,High,69,Gold
C100258,35,F,Andreaport,Mid,28,Green
C100259,22,F,Gilmorefort,Low,56,Green
C100260,49,F,North Teresabury,Mid,99,Gold
C100261,53,F,West Andrea,Affluent,110,Gold
C100262,27,F,Davisville,Low,77,Green
C100263,46,F,Valentineberg,Mid,103,Platinum
C100264,25,M,Cantuport,High,106,Centurion
C100265,40,F,Robertfort,High,109,Platinum
C100266,42,M,Sanchezside,High,112,Platinum
C100267,33,F,South James,High,58,Green
C100268,39,M,Port Chad,Mid,78,Centurion
C100269,47,M,Morganhaven,Mid,75,Gold
C100270,36,M,Loriport,High,42,Green
C100271,30,F,Maryshire,High,166,Platinum
C100272,24,M,Grimesmouth,High,68,Green
C100273,33,M,Reedside,Affluent,33,Gold
C100274,25,F,Gibsonmouth,Mid,71,Green
C100275,33,M,Lake John,Mid,56,Gold
C100276,32,M,Hallchester,High,105,Gold
C100277,46,M,West Juliefurt,Mid,101,Gold
C100278,38,F,Mcneilberg,High,51,Green
C100279,66,F,Hannaberg,High,74,Gold
C100280,21,F,Mollymouth,High,171,Gold
C100281,41,M,New Reneetown,Mid,121,Green
C100282,33,M,South Monica,Mid,143,Platinum
C100283,27,M,North Terrance,Low,166,Gold
C100284,37,F,Matthewfurt,Mid,143,Platinum
C100285,36,M,Port Markside,Low,5,Green
C100286,49,M,Finleyfort,Mid,83,Green
C100287,39,F,New Caseyport,Mid,51,Green
C100288,30,M,Lake Christopher,Mid,10,Gold
C100289,41,M,Port Cynthiaville,Mid,140,Green
C100290,35,F,Jacksonport,Low,4,Gold
C100291,25,F,North Markton,Low,95,Green
C100292,35,F,Michaelchester,High,146,Green
C100293,40,F,East Amanda,Mid,80,Gold
C100294,38,F,East Gregory,Low,36,Centurion
C100295,41,F,Harveybury,Mid,25,Green
C100296,32,F,Durhamberg,High,98,Gold
C100297,41,M,South Dana,Mid,164,Gold
C100298,39,F,Scotttown,Mid,101,Gold
C100299,39,F,Santanaside,Low,9,Platinum
C100300,38,F,North Scott,Low,61,Centurion
C100301,61,M,Vanessaport,Mid,53,Green
C100302,50,M,Vaughnmouth,Mid,146,Gold
C100303,41,M,Jamesfurt,Mid,171,Gold
C100304,29,F,Rodriguezfurt,High,163,Gold
C100305,34,M,Baileyport,Affluent,63,Green
C100306,55,M,Port Dominiqueview,Mid,121,Platinum
C100307,31,F,New Michelleton,Mid,105,Platinum
C100308,36,F,Wallport,High,4,Green
C100309,35,F,New Laurie,Mid,93,Green
C100310,42,F,Lake James,Mid,169,Platinum
C100311,33,F,Ericaberg,Low,173,Green
C100312,39,F,Lake Debbieport,Low,178,Gold
C100313,33,M,Johnsonstad,Affluent,28,Green
C100314,52,M,North Renee,High,170,Green
C100315,30,F,Julieburgh,High,80,Green
C100316,48,M,East Kristin,Mid,76,Green
C100317,31,F,Alyssaview,Low,116,Green
C100318,28,M,West Robin,Low,69,Gold
C100319,30,M,Coffeyport,Mid,98,Gold
C100320,21,M,Lindamouth,Mid,1,Green
C100321,42,F,East Karenbury,High,167,Gold
C100322,25,M,Coffeyside,High,96,Gold
C100323,34,M,Christopherfurt,Mid,17,Gold
C100324,46,F,West Amandamouth,Affluent,112,Gold
C100325,46,F,Emilyview,High,91,Gold
C100326,22,M,Carsonstad,Mid,88,Centurion
C100327,41,F,Lake Jesustown,Mid,163,Gold
C100328,50,F,Rosebury,Mid,174,Green
C100329,30,M,Lake Madisonport,Mid,170,Gold
C100330,43,F,Wilsonton,Mid,167,Green
C100331,25,M,West Wendyville,High,90,Green
C100332,42,M,East Paigeberg,Low,49,Gold
C100333,39,F,Chavezside,Low,38,Platinum
C100334,45,F,Matthewsberg,Low,151,Green
C100335,44,M,Penafort,Low,150,Platinum
C100336,23,F,Crosbyview,High,132,Green
C100337,39,F,Lake Mitchellmouth,High,177,Green
C100338,53,F,Sampsonstad,Mid,59,Centurion
C100339,21,F,Lake Michaelstad,Low,68,Gold
C100340,48,F,South Joshuaville,Mid,130,Platinum
C100341,55,M,Davisborough,Mid,49,Platinum
C100342,21,M,North Kristinbury,Low,126,Platinum
C100343,30,F,Port Anne,Mid,159,Green
C100344,43,F,Port Kathyborough,Mid,111,Green
C100345,28,M,Port Molly,Mid,168,Platinum
C100346,53,M,Kimtown,Mid,48,Gold
C100347,49,F,Micheleberg,Low,51,Gold
C100348,22,M,New John,Mid,43,Green
C100349,29,M,North Donna,Mid,98,Green
C100350,46,M,East Alexisbury,Mid,177,Gold
C100351,46,M,Alfredview,High,124,Green
C100352,62,M,East Judyhaven,High,80,Green
C100353,28,M,Lake Brycemouth,Low,111,Green
C100354,54,F,Williamville,Low,143,Green
C100355,27,M,Gordonton,Mid,27,Platinum
C100356,43,F,Stephentown,Low,158,Gold
C100357,47,F,South Melaniechester,Mid,164,Green
C100358,21,M,South Jennifermouth,Affluent,113,Green
C100359,48,M,North Marcberg,Mid,86,Gold
C100360,53,F,East Joshuashire,Mid,114,Green
C100361,50,M,Oscarhaven,Mid,124,Platinum
C100362,60,M,Shawnchester,Mid,49,Platinum
C100363,48,M,Port Jacquelineside,Mid,76,Platinum
C100364,32,M,South Shannon,Affluent,55,Gold
C100365,51,F,South Matthew,Mid,56,Green
C100366,31,F,Rossville,Affluent,95,Gold
C100367,38,M,Ronaldview,Affluent,44,Green
C100368,47,F,Stephaniefort,Low,159,Green
C100369,42,M,North Marieland,Low,87,Green
C100370,52,F,Davisstad,Low,84,Gold
C100371,65,F,New Brian,Low,151,Green
C100372,25,F,Elizabethchester,Low,156,Green
C100373,34,M,Morganchester,High,16,Gold
C100374,41,F,West Carolinestad,Low,165,Centurion
C100375,32,M,New Williamberg,Mid,149,Green
C100376,37,M,Walkerville,High,145,Gold
C100377,46,M,Meganstad,Low,37,Green
C100378,45,F,Port Joshuabury,High,77,Platinum
C100379,40,M,Bruceside,Mid,147,Green
C100380,39,M,New Sarahview,Low,158,Platinum
C100381,35,M,East Joshuaport,High,45,Green
C100382,53,M,Michaelburgh,Mid,146,Platinum
C100383,56,M,New Diane,High,62,Green
C100384,49,F,East Joycetown,High,164,Green
C100385,25,M,Lake Alyssafurt,High,100,Green
C100386,35,M,Chavezburgh,Mid,52,Green
C100387,40,F,Larrymouth,Low,19,Platinum
C100388,27,F,North Ericton,High,109,Gold
C100389,38,F,West Scottchester,High,44,Gold
C100390,38,F,Lawsonchester,Affluent,7,Centurion
C100391,49,M,Jasonhaven,Mid,172,Gold
C100392,32,F,West Russellport,Mid,117,Centurion
C100393,50,M,Roseport,High,68,Green
C100394,27,F,East Randallton,Mid,34,Platinum
C100395,29,F,East Kevinborough,Affluent,69,Green
C100396,33,F,Port Jonathan,High,55,Gold
C100397,38,F,Davidfort,Mid,10,Gold
C100398,21,M,Thompsonfurt,High,42,Gold
C100399,43,M,New Angelica,High,41,Gold
C100400,56,F,Charleston,Low,122,Green
C100401,45,F,Smithland,Affluent,138,Centurion
C100402,35,M,Barbarashire,Mid,10,Centurion
C100403,26,F,Mckinneychester,High,102,Centurion
C100404,21,M,Dariustown,Mid,128,Centurion
C100405,21,F,Georgemouth,High,179,Platinum
C100406,36,F,Christopherville,Mid,149,Centurion
C100407,61,M,South Brianna,Low,136,Platinum
C100408,21,M,South Monicamouth,Affluent,92,Gold
C100409,45,M,West Kimberly,Low,113,Platinum
C100410,30,F,New Cynthiahaven,Mid,78,Platinum
C100411,34,F,Port Michael,Affluent,85,Gold
C100412,27,F,East Curtis,Affluent,30,Gold
C100413,22,F,Jamesberg,Mid,49,Green
C100414,39,M,East Stephaniefort,Mid,9,Platinum
C100415,40,M,Webstershire,Mid,145,Centurion
C100416,45,F,Maldonadoshire,Mid,69,Green
C100417,21,F,Michellemouth,Mid,58,Green
C100418,47,M,South Carlos,High,62,Green
C100419,47,M,Welchview,High,52,Gold
C100420,42,M,West Williamport,High,40,Green
C100421,33,F,Hayeston,High,166,Gold
C100422,41,M,Marieland,Low,171,Centurion
C100423,36,F,New Brookefurt,Mid,63,Gold
C100424,48,M,Carpenterton,Low,147,Green
C100425,33,M,Stoutshire,Mid,50,Platinum
C100426,39,M,West Cassidy,Mid,161,Gold
C100427,21,F,North Shannon,High,141,Green
C100428,41,M,Toniland,Mid,78,Gold
C100429,29,M,North John,Low,97,Gold
C100430,43,M,Ritterhaven,Low,43,Platinum
C100431,46,F,West Nathan,High,177,Platinum
C100432,31,M,Paulmouth,Mid,36,Green
C100433,38,F,Port Crystalmouth,Low,122,Green
C100434,39,M,West Codyfurt,Low,108,Green
C100435,42,F,Johnathanberg,High,10,Gold
C100436,46,F,Christopherberg,Low,95,Platinum
C100437,45,M,Kylefurt,High,6,Gold
C100438,33,F,New Jeanne,High,57,Green
C100439,55,M,West Angelicamouth,Low,129,Centurion
C100440,46,F,Lake Jacqueline,Low,71,Platinum
C100441,53,M,Lake Ellenhaven,Affluent,21,Green
C100442,41,M,Andrewport,Mid,92,Platinum
C100443,42,M,East Matthew,Mid,127,Gold
C100444,36,M,Leeberg,High,80,Green
C100445,33,M,North Kenneth,Affluent,56,Green
C100446,48,F,New Kellihaven,Affluent,116,Green
C100447,40,M,Lake Matthewberg,High,148,Green
C100448,36,F,Mooreburgh,Mid,25,Gold
C100449,26,F,Lake Samuel,Low,156,Green
C100450,55,F,Diazbury,High,5,Green
C100451,39,F,Bishopmouth,Mid,120,Gold
C100452,24,M,New John,Mid,21,Green
C100453,38,M,Mckeeborough,Affluent,18,Gold
C100454,35,M,Erikashire,Low,175,Gold
C100455,35,F,Murrayport,Mid,57,Gold
C100456,44,F,Shawchester,Low,93,Centurion
C100457,35,F,Port James,Mid,19,Green
C100458,34,F,Port John,Low,128,Gold
C100459,52,F,Sawyerside,Low,97,Green
C100460,21,F,Lake Meghanville,Low,131,Platinum
C100461,37,F,Christopherburgh,Mid,170,Platinum
C100462,48,F,Shannonhaven,High,21,Green
C100463,44,F,Port Samuel,Mid,40,Gold
C100464,49,F,Port Shannon,Affluent,67,Green
C100465,60,F,Sarahchester,Mid,153,Centurion
C100466,56,F,South Waynebury,Mid,127,Green
C100467,25,M,Vangstad,High,55,Platinum
C100468,21,F,North Lucas,Mid,180,Green
C100469,41,F,Port Jennifermouth,Affluent,172,Gold
C100470,23,M,East Benjamin,Low,109,Centurion
C100471,21,M,Hortonberg,Affluent,98,Platinum
C100472,41,F,Westtown,Low,112,Green
C100473,44,F,North Jonathanberg,High,115,Gold
C100474,56,M,Rodriguezport,Mid,117,Green
C100475,46,M,West David,Affluent,87,Gold
C100476,59,F,South Danielle,Low,81,Green
C100477,41,M,Brownfort,Mid,66,Green
C100478,25,M,Lake Zacharybury,Affluent,19,Gold
C100479,47,F,West Ruben,Mid,135,Green
C100480,52,F,Johnchester,Mid,118,Gold
C100481,42,F,Lake Elizabeth,High,42,Green
C100482,53,M,Carloshaven,Mid,42,Green
C100483,36,M,South Morganton,Mid,59,Gold
C100484,44,M,Zavalaview,Mid,20,Green
C100485,36,M,West Kristinastad,Affluent,73,Green
C100486,64,M,Lake Diane,Low,17,Gold
C100487,47,F,Port Bonniemouth,Mid,27,Gold
C100488,25,M,North Michael,Affluent,175,Gold
C100489,58,F,Lisaburgh,High,2,Green
C100490,29,M,Pollardfort,Mid,63,Green
C100491,38,F,Port Dennis,Mid,62,Platinum
C100492,43,F,Johnsonborough,Mid,100,Centurion
C100493,44,M,Port Jameston,Low,19,Green
C100494,43,M,Sarahhaven,Mid,17,Gold
C100495,25,F,Haysside,Mid,69,Green
C100496,43,F,Kingborough,Mid,167,Green
C100497,50,F,Michaelton,Low,117,Green
C100498,49,M,Joshuastad,Affluent,81,Gold
C100499,23,F,Prestonmouth,Affluent,39,Green
C100500,30,F,Morganburgh,High,36,Platinum
C100501,26,M,Holtstad,Mid,168,Gold
C100502,41,F,Lauriechester,Mid,173,Green
C100503,21,F,South Carrieburgh,High,132,Platinum
C100504,25,F,Manuelland,High,153,Green
C100505,30,F,Donnaport,Low,158,Gold
C100506,21,F,Morrisonchester,Affluent,29,Green
C100507,37,M,Lake Scott,High,51,Green
C100508,21,M,Williamsstad,Affluent,152,Green
C100509,43,F,Hillton,High,14,Green
C100510,33,F,Lake Danastad,Mid,69,Green
C100511,31,F,North Douglas,Mid,146,Green
C100512,32,M,Johnsonland,Affluent,170,Centurion
C100513,37,M,Port Deanna,High,57,Green
C100514,44,F,Patrickshire,Low,12,Green
C100515,52,F,New Ericmouth,Low,17,Centurion
C100516,49,M,Nathanland,Mid,30,Gold
C100517,62,F,New Michael,High,88,Gold
C100518,45,M,Debrabury,Affluent,99,Green
C100519,39,M,North Jillfort,Low,23,Gold
C100520,32,F,Mcintyreville,Mid,129,Green
C100521,33,M,Kimberlymouth,Mid,79,Gold
C100522,43,F,New Justin,Affluent,32,Centurion
C100523,27,M,Gonzalezberg,High,9,Gold
C100524,40,M,South Geraldmouth,High,15,Green
C100525,37,F,Port Evelynmouth,Mid,156,Gold
C100526,29,F,Jennaside,Mid,152,Gold
C100527,26,M,Patriciaburgh,Mid,163,Gold
C100528,65,M,Port Michael,Low,27,Gold
C100529,22,F,North Tracie,High,109,Gold
C100530,37,M,East Kristy,High,76,Gold
C100531,51,F,West Angelastad,Affluent,148,Centurion
C100532,43,M,Laraside,Affluent,65,Platinum
C100533,32,F,New Nicole,Mid,177,Green
C100534,24,M,West Raymondfort,High,109,Gold
C100535,39,F,Hammondshire,Affluent,129,Green
C100536,21,F,East Teresaland,High,10,Platinum
C100537,39,M,Owenshaven,Mid,47,Green
C100538,38,F,Davidside,Mid,123,Gold
C100539,49,M,Port Tammy,Low,59,Platinum
C100540,25,M,Shawton,Affluent,96,Green
C100541,34,M,New Ericburgh,Mid,103,Platinum
C100542,42,F,West Sarah,Mid,124,Gold
C100543,40,M,West Stacey,High,86,Green
C100544,23,F,Meghanview,Mid,146,Gold
C100545,30,F,Lake Stephanie,Mid,112,Platinum
C100546,53,M,Davidport,Low,174,Green
C100547,40,M,New Danielleshire,High,160,Gold
C100548,21,M,East Donna,Mid,27,Gold
C100549,47,M,Meganshire,High,18,Platinum
C100550,21,M,Port Michelleland,Mid,167,Gold
C100551,34,F,Lake Kelliview,High,177,Gold
C100552,44,F,Port Ashley,Mid,82,Platinum
C100553,51,M,South Pamelaside,Mid,172,Platinum
C100554,21,F,Dawnport,High,72,Gold
C100555,45,M,Sanchezfurt,Mid,54,Green
C100556,47,F,Shawnton,Low,162,Green
C100557,31,F,South Robert,Low,71,Gold
C100558,38,M,Harrisberg,High,164,Gold
C100559,21,F,Michellemouth,Mid,146,Green
C100560,21,F,Theresaberg,High,38,Green
C100561,50,F,Zacharyville,Mid,137,Gold
C100562,32,M,Johnville,Low,179,Green
C100563,34,M,Shannonberg,Low,35,Green
C100564,40,M,North Kellyfurt,Mid,82,Green
C100565,33,M,Wrightburgh,Mid,133,Platinum
C100566,32,F,Sarahmouth,Mid,142,Gold
C100567,42,M,Port Erik,Mid,158,Green
C100568,21,F,Jimenezport,Affluent,4,Green
C100569,50,M,Johnsonfurt,Mid,167,Gold
C100570,35,M,Levyborough,Mid,153,Platinum
C100571,26,F,Brandonport,High,156,Gold
C100572,25,M,Harperfort,Mid,150,Green
C100573,38,F,Amandaville,Mid,159,Gold
C100574,34,M,Andersonview,High,23,Platinum
C100575,21,M,Kathrynstad,Affluent,48,Green
