offer_id,merchant_id,category,offer_type,discount_pct,min_spend,start_date,end_date
O5079,M2027,Travel,Statement Credit,25,2000,2025-04-12,2025-05-12
O5080,M2060,Entertainment,Bonus Points,30,0,2024-02-12,2024-04-12
O5081,M2057,Health & Wellness,Bonus Points,30,500,2024-03-22,2024-05-21
O5082,M2043,Fuel,Bonus Points,30,0,2024-01-27,2024-02-26
O5083,M2082,Dining,Bonus Points,20,2000,2024-10-30,2025-01-28
O5084,M2124,Electronics,Cashback,20,500,2024-03-09,2024-06-07
O5085,M2144,Travel,Bonus Points,15,0,2024-07-17,2024-09-15
O5086,M2078,Fuel,Statement Credit,5,1000,2025-02-09,2025-05-10
O5087,M2084,Travel,Cashback,10,0,2025-02-21,2025-03-23
O5088,M2037,Retail,Discount,5,2000,2025-03-02,2025-05-31
O5089,M2029,Entertainment,Statement Credit,20,500,2025-04-05,2025-06-04
O5090,M2146,Fuel,Statement Credit,20,1000,2025-01-06,2025-04-06
O5091,M2031,Travel,Discount,30,0,2025-04-24,2025-05-09
O5092,M2019,Fuel,Discount,30,2000,2024-08-03,2024-09-02
O5093,M2101,Travel,Statement Credit,5,2000,2024-05-03,2024-06-02
O5094,M2063,Grocery,Cashback,10,1000,2024-01-16,2024-03-01
O5095,M2035,Fuel,Discount,20,2000,2024-05-05,2024-08-03
O5096,M2025,Entertainment,Bonus Points,20,0,2024-01-14,2024-02-13
O5097,M2006,Travel,Statement Credit,5,2000,2024-02-08,2024-05-08
O5098,M2033,Electronics,Statement Credit,25,1000,2024-07-17,2024-08-01
O5099,M2133,Fuel,Discount,30,2000,2024-04-17,2024-06-16
O5100,M2061,Entertainment,Discount,15,1000,2024-09-24,2024-11-23
O5101,M2085,Travel,Bonus Points,20,0,2025-04-12,2025-05-27
O5102,M2072,Electronics,Bonus Points,10,1000,2024-12-18,2025-02-01
O5103,M2127,Retail,Bonus Points,25,0,2024-11-06,2024-12-06
O5104,M2059,Health & Wellness,Bonus Points,5,1000,2025-01-24,2025-02-23
O5105,M2063,Grocery,Statement Credit,5,500,2024-02-09,2024-03-10
O5106,M2051,Retail,Discount,10,0,2024-12-12,2024-12-27
O5107,M2144,Travel,Cashback,30,5000,2024-09-25,2024-11-09
O5108,M2059,Health & Wellness,Discount,30,2000,2024-03-09,2024-04-23
O5109,M2076,Grocery,Discount,25,2000,2024-05-31,2024-07-30
O5110,M2118,Travel,Bonus Points,10,1000,2025-04-02,2025-05-17
O5111,M2137,Grocery,Bonus Points,20,1000,2024-07-05,2024-08-19
O5112,M2124,Electronics,Statement Credit,25,1000,2025-03-05,2025-03-20
O5113,M2017,Entertainment,Bonus Points,15,0,2024-12-17,2025-01-16
O5114,M2063,Grocery,Statement Credit,15,2000,2025-04-01,2025-04-16
O5115,M2078,Fuel,Discount,10,2000,2024-08-28,2024-11-26
O5116,M2058,Grocery,Discount,15,1000,2024-08-14,2024-10-13
O5117,M2057,Health & Wellness,Discount,10,2000,2025-03-03,2025-05-02
O5118,M2060,Entertainment,Statement Credit,20,500,2024-07-22,2024-09-20
O5119,M2117,Dining,Statement Credit,30,500,2024-09-23,2024-10-23
O5120,M2078,Fuel,Statement Credit,20,5000,2024-04-27,2024-05-27
O5121,M2070,Fuel,Bonus Points,10,500,2024-11-12,2024-12-12
O5122,M2087,Dining,Cashback,20,1000,2024-10-18,2024-12-17
O5123,M2086,Health & Wellness,Bonus Points,15,500,2025-03-31,2025-05-30
O5124,M2138,Travel,Cashback,20,1000,2025-01-28,2025-03-29
O5125,M2087,Dining,Bonus Points,15,1000,2025-04-06,2025-07-05
O5126,M2132,Travel,Discount,30,1000,2024-08-09,2024-11-07
O5127,M2038,Health & Wellness,Statement Credit,30,500,2025-01-19,2025-03-20
O5128,M2079,Travel,Bonus Points,15,0,2024-03-03,2024-04-02
O5129,M2019,Fuel,Statement Credit,5,1000,2025-01-30,2025-03-01
O5130,M2080,Grocery,Bonus Points,20,2000,2024-01-05,2024-04-04
O5131,M2018,Fuel,Discount,20,0,2024-11-29,2025-02-27
O5132,M2142,Entertainment,Statement Credit,10,0,2024-10-18,2024-12-17
O5133,M2148,Retail,Discount,10,0,2024-05-24,2024-07-23
O5134,M2133,Fuel,Cashback,25,2000,2025-03-17,2025-04-16
O5135,M2115,Health & Wellness,Statement Credit,15,1000,2024-05-29,2024-07-13
O5136,M2100,Grocery,Bonus Points,30,5000,2024-06-07,2024-07-07
O5137,M2038,Health & Wellness,Statement Credit,30,500,2025-02-13,2025-03-15
O5138,M2145,Entertainment,Cashback,5,500,2024-09-25,2024-11-24
O5139,M2035,Fuel,Cashback,15,1000,2025-03-22,2025-05-06
O5140,M2082,Dining,Bonus Points,20,0,2025-03-26,2025-05-10
O5141,M2093,Electronics,Discount,25,500,2025-05-05,2025-07-04
O5142,M2001,Entertainment,Statement Credit,15,500,2024-11-14,2024-11-29
O5143,M2072,Electronics,Discount,25,0,2024-01-11,2024-03-11
O5144,M2034,Retail,Discount,15,500,2024-03-09,2024-06-07
O5145,M2128,Dining,Bonus Points,20,0,2024-07-10,2024-08-24
O5146,M2062,Retail,Statement Credit,20,0,2024-04-11,2024-06-10
O5147,M2094,Grocery,Cashback,15,0,2025-03-27,2025-04-26
O5148,M2044,Retail,Bonus Points,30,1000,2024-02-01,2024-03-02
O5149,M2124,Electronics,Discount,30,0,2024-07-20,2024-08-19
O5150,M2036,Electronics,Cashback,5,0,2024-09-22,2024-11-21
O5151,M2006,Travel,Discount,20,0,2024-04-17,2024-05-02
O5152,M2109,Fuel,Statement Credit,10,500,2024-02-23,2024-05-23
O5153,M2143,Grocery,Discount,5,1000,2025-03-14,2025-04-13
O5154,M2141,Retail,Cashback,15,2000,2024-12-03,2025-02-01
O5155,M2133,Fuel,Statement Credit,5,2000,2024-07-08,2024-07-23
O5156,M2148,Retail,Bonus Points,10,0,2024-08-26,2024-10-10
O5157,M2137,Grocery,Discount,20,0,2025-03-14,2025-04-28
O5158,M2031,Travel,Statement Credit,20,0,2024-12-08,2025-03-08
O5159,M2133,Fuel,Statement Credit,30,5000,2024-12-03,2025-02-01
O5160,M2001,Entertainment,Bonus Points,20,1000,2024-10-17,2024-12-16
O5161,M2038,Health & Wellness,Bonus Points,30,0,2024-11-18,2024-12-18
O5162,M2048,Retail,Cashback,10,0,2024-11-16,2024-12-01
O5163,M2026,Retail,Statement Credit,5,500,2024-09-29,2024-12-28
O5164,M2055,Travel,Statement Credit,15,0,2024-02-11,2024-02-26
O5165,M2013,Fuel,Cashback,15,2000,2025-03-18,2025-06-16
O5166,M2102,Fuel,Discount,5,500,2024-07-16,2024-09-14
O5167,M2117,Dining,Statement Credit,20,1000,2025-01-11,2025-03-12
O5168,M2121,Fuel,Statement Credit,30,500,2024-04-30,2024-07-29
O5169,M2104,Fuel,Discount,15,0,2025-01-29,2025-02-13
O5170,M2024,Travel,Bonus Points,20,500,2024-11-29,2025-01-13
O5171,M2052,Entertainment,Bonus Points,25,1000,2025-05-11,2025-06-25
O5172,M2010,Grocery,Bonus Points,25,500,2024-10-10,2024-11-09
O5173,M2036,Electronics,Cashback,15,500,2024-10-21,2024-11-20
O5174,M2008,Health & Wellness,Discount,5,2000,2024-06-30,2024-07-15
O5175,M2027,Travel,Bonus Points,5,0,2024-04-09,2024-06-08
O5176,M2054,Retail,Cashback,5,500,2024-01-11,2024-01-26
O5177,M2126,Grocery,Discount,20,0,2025-01-05,2025-04-05
O5178,M2069,Entertainment,Bonus Points,25,1000,2024-08-20,2024-10-04
O5179,M2026,Retail,Statement Credit,20,0,2025-03-17,2025-04-16
O5180,M2009,Dining,Statement Credit,10,1000,2024-04-26,2024-05-11
O5181,M2148,Retail,Bonus Points,10,0,2025-02-27,2025-03-14
O5182,M2125,Retail,Bonus Points,15,0,2025-05-14,2025-08-12
O5183,M2002,Fuel,Cashback,10,1000,2025-01-22,2025-03-23
O5184,M2042,Dining,Statement Credit,5,1000,2024-03-04,2024-05-03
O5185,M2098,Entertainment,Discount,15,2000,2024-06-24,2024-08-08
O5186,M2006,Travel,Bonus Points,25,500,2025-03-29,2025-04-28
O5187,M2041,Retail,Discount,30,500,2025-04-30,2025-06-29
O5188,M2096,Dining,Bonus Points,25,1000,2024-03-23,2024-05-22
O5189,M2003,Dining,Statement Credit,10,0,2025-02-18,2025-04-19
O5190,M2135,Dining,Bonus Points,10,0,2024-01-02,2024-01-17
O5191,M2083,Fuel,Discount,25,0,2024-10-25,2024-12-24
O5192,M2144,Travel,Statement Credit,10,0,2024-08-04,2024-11-02
O5193,M2004,Entertainment,Bonus Points,10,0,2024-08-29,2024-10-13
O5194,M2112,Dining,Statement Credit,20,2000,2024-10-23,2024-12-22
O5195,M2136,Dining,Cashback,30,2000,2024-02-29,2024-03-30
O5196,M2135,Dining,Discount,30,2000,2025-01-02,2025-01-17
O5197,M2006,Travel,Bonus Points,25,5000,2024-07-21,2024-10-19
O5198,M2036,Electronics,Bonus Points,25,500,2025-03-05,2025-04-19
O5199,M2054,Retail,Bonus Points,10,0,2024-02-09,2024-02-24
O5200,M2066,Retail,Discount,5,500,2024-11-10,2025-02-08
O5201,M2135,Dining,Cashback,20,2000,2024-02-14,2024-02-29
O5202,M2068,Fuel,Discount,5,500,2024-10-24,2024-12-08
O5203,M2004,Entertainment,Bonus Points,10,500,2024-04-28,2024-06-12
O5204,M2016,Health & Wellness,Discount,25,0,2025-05-06,2025-07-05
O5205,M2110,Retail,Bonus Points,5,500,2025-02-08,2025-03-10
O5206,M2057,Health & Wellness,Discount,30,500,2024-05-10,2024-07-09
O5207,M2103,Grocery,Statement Credit,15,500,2025-03-25,2025-04-09
O5208,M2112,Dining,Discount,5,2000,2025-01-29,2025-03-30
O5209,M2091,Electronics,Bonus Points,25,0,2024-10-06,2024-11-20
O5210,M2067,Travel,Bonus Points,30,5000,2024-02-19,2024-04-04
O5211,M2027,Travel,Discount,10,0,2024-03-28,2024-05-12
O5212,M2088,Health & Wellness,Discount,5,2000,2024-01-21,2024-03-21
O5213,M2105,Entertainment,Statement Credit,10,500,2025-02-12,2025-05-13
O5214,M2066,Retail,Cashback,20,1000,2025-01-22,2025-03-23
O5215,M2121,Fuel,Cashback,15,0,2024-08-19,2024-10-18
O5216,M2100,Grocery,Statement Credit,25,1000,2025-01-15,2025-03-16
O5217,M2011,Retail,Cashback,25,2000,2024-02-12,2024-04-12
O5218,M2100,Grocery,Cashback,10,0,2025-03-06,2025-04-20
O5219,M2003,Dining,Bonus Points,15,0,2024-01-23,2024-02-22
O5220,M2120,Entertainment,Bonus Points,30,0,2025-03-19,2025-05-18
O5221,M2041,Retail,Bonus Points,25,0,2024-08-03,2024-10-02
O5222,M2021,Travel,Discount,5,0,2024-10-03,2024-11-02
O5223,M2000,Grocery,Discount,25,1000,2024-07-12,2024-09-10
O5224,M2047,Dining,Cashback,5,0,2024-08-02,2024-09-01
O5225,M2042,Dining,Discount,25,1000,2024-06-27,2024-08-11
O5226,M2101,Travel,Bonus Points,5,2000,2024-05-22,2024-08-20
O5227,M2147,Grocery,Discount,20,1000,2024-11-09,2025-01-08
O5228,M2017,Entertainment,Cashback,10,0,2024-01-26,2024-04-25
O5229,M2075,Electronics,Bonus Points,30,500,2024-08-05,2024-10-04
O5230,M2144,Travel,Cashback,30,500,2025-04-20,2025-05-05
O5231,M2149,Retail,Discount,20,0,2024-02-28,2024-03-14
O5232,M2081,Electronics,Statement Credit,30,0,2024-12-11,2025-01-25
O5233,M2009,Dining,Statement Credit,5,2000,2024-02-14,2024-05-14
O5234,M2023,Electronics,Bonus Points,30,1000,2025-03-25,2025-06-23
O5235,M2139,Health & Wellness,Cashback,10,0,2025-02-22,2025-03-24
O5236,M2003,Dining,Statement Credit,15,500,2024-08-11,2024-09-10
O5237,M2125,Retail,Statement Credit,5,0,2024-12-15,2025-02-13
O5238,M2132,Travel,Bonus Points,30,5000,2024-09-12,2024-10-12
O5239,M2079,Travel,Bonus Points,25,5000,2024-04-19,2024-05-19
O5240,M2004,Entertainment,Cashback,25,0,2024-11-15,2025-02-13
O5241,M2082,Dining,Statement Credit,15,500,2024-12-05,2024-12-20
O5242,M2005,Health & Wellness,Cashback,20,500,2024-09-06,2024-12-05
O5243,M2006,Travel,Cashback,5,500,2024-03-17,2024-04-16
O5244,M2009,Dining,Bonus Points,25,0,2024-10-09,2024-12-08
O5245,M2077,Health & Wellness,Cashback,10,1000,2024-03-27,2024-04-11
O5246,M2041,Retail,Discount,15,0,2024-09-06,2024-10-06
O5247,M2061,Entertainment,Cashback,20,1000,2024-07-26,2024-08-25
O5248,M2124,Electronics,Statement Credit,20,500,2024-06-07,2024-08-06
O5249,M2021,Travel,Cashback,10,1000,2024-01-12,2024-03-12
O5250,M2056,Retail,Discount,30,1000,2024-08-12,2024-09-11
O5251,M2095,Fuel,Discount,10,500,2024-12-23,2025-01-22
O5252,M2138,Travel,Statement Credit,30,1000,2024-10-27,2025-01-25
O5253,M2141,Retail,Statement Credit,15,500,2025-01-18,2025-03-04
O5254,M2030,Fuel,Cashback,10,0,2024-02-01,2024-04-01
O5255,M2003,Dining,Discount,25,0,2024-02-23,2024-04-23
O5256,M2108,Entertainment,Discount,20,0,2025-03-25,2025-06-23
O5257,M2149,Retail,Cashback,30,0,2024-08-29,2024-09-13
O5258,M2117,Dining,Statement Credit,10,1000,2025-01-03,2025-01-18
O5259,M2092,Travel,Discount,5,500,2024-04-24,2024-05-09
O5260,M2098,Entertainment,Cashback,10,0,2025-04-15,2025-06-14
O5261,M2076,Grocery,Statement Credit,30,2000,2024-10-14,2024-11-28
O5262,M2082,Dining,Cashback,20,1000,2025-02-02,2025-03-19
O5263,M2114,Grocery,Statement Credit,25,500,2024-04-13,2024-07-12
O5264,M2060,Entertainment,Statement Credit,10,0,2024-11-06,2024-11-21
O5265,M2099,Dining,Discount,25,0,2024-10-23,2024-11-07
O5266,M2133,Fuel,Bonus Points,5,500,2024-05-06,2024-06-05
O5267,M2078,Fuel,Discount,30,2000,2024-02-09,2024-05-09
O5268,M2005,Health & Wellness,Cashback,20,0,2024-03-12,2024-06-10
O5269,M2065,Electronics,Statement Credit,15,500,2024-08-22,2024-10-21
O5270,M2142,Entertainment,Discount,20,5000,2025-01-04,2025-03-05
O5271,M2075,Electronics,Statement Credit,30,1000,2025-03-08,2025-06-06
O5272,M2039,Health & Wellness,Discount,15,500,2025-04-14,2025-05-29
O5273,M2006,Travel,Cashback,15,1000,2024-09-03,2024-12-02
O5274,M2021,Travel,Cashback,20,2000,2024-10-20,2024-12-04
O5275,M2071,Entertainment,Cashback,30,500,2024-09-03,2024-11-02
O5276,M2105,Entertainment,Discount,15,2000,2024-11-07,2025-02-05
O5277,M2138,Travel,Bonus Points,30,500,2024-02-03,2024-03-19
O5278,M2129,Dining,Cashback,25,2000,2024-05-08,2024-06-07
O5279,M2029,Entertainment,Discount,5,5000,2024-01-10,2024-02-09
O5280,M2067,Travel,Bonus Points,10,500,2024-06-16,2024-09-14
O5281,M2088,Health & Wellness,Discount,30,1000,2024-09-28,2024-10-13
O5282,M2148,Retail,Discount,30,1000,2024-08-03,2024-11-01
O5283,M2072,Electronics,Cashback,15,1000,2025-03-05,2025-05-04
O5284,M2071,Entertainment,Bonus Points,30,2000,2025-02-11,2025-04-12
O5285,M2132,Travel,Discount,30,0,2024-08-27,2024-09-26
O5286,M2065,Electronics,Discount,15,1000,2024-01-14,2024-02-28
O5287,M2084,Travel,Discount,20,1000,2024-03-30,2024-04-29
O5288,M2048,Retail,Discount,30,1000,2025-02-26,2025-04-12
O5289,M2007,Electronics,Cashback,25,1000,2024-01-18,2024-04-17
O5290,M2001,Entertainment,Discount,10,0,2024-12-05,2024-12-20
O5291,M2027,Travel,Bonus Points,30,500,2024-06-17,2024-08-16
O5292,M2138,Travel,Statement Credit,15,2000,2024-02-25,2024-05-25
O5293,M2045,Fuel,Bonus Points,25,2000,2024-06-12,2024-07-12
O5294,M2125,Retail,Discount,10,0,2024-05-31,2024-08-29
O5295,M2020,Travel,Discount,20,500,2024-03-30,2024-04-14
O5296,M2031,Travel,Bonus Points,30,2000,2024-10-11,2024-11-25
O5297,M2149,Retail,Statement Credit,15,1000,2025-05-10,2025-05-25
O5298,M2076,Grocery,Cashback,20,1000,2024-01-22,2024-02-21
O5299,M2020,Travel,Statement Credit,30,0,2024-09-23,2024-10-08
O5300,M2149,Retail,Statement Credit,20,1000,2024-10-23,2024-12-22
O5301,M2033,Electronics,Statement Credit,15,1000,2025-03-08,2025-03-23
O5302,M2137,Grocery,Bonus Points,25,1000,2024-09-02,2024-12-01
O5303,M2064,Fuel,Statement Credit,25,1000,2024-05-18,2024-07-02
O5304,M2064,Fuel,Cashback,20,500,2024-02-21,2024-04-21
O5305,M2087,Dining,Discount,20,5000,2024-03-07,2024-05-06
O5306,M2066,Retail,Bonus Points,30,1000,2024-03-25,2024-05-24
O5307,M2042,Dining,Bonus Points,5,500,2024-09-06,2024-10-06
O5308,M2114,Grocery,Statement Credit,10,2000,2024-11-26,2024-12-26
O5309,M2140,Health & Wellness,Discount,30,2000,2025-01-26,2025-04-26
O5310,M2117,Dining,Discount,20,2000,2025-02-18,2025-04-04
O5311,M2003,Dining,Discount,20,500,2024-05-02,2024-05-17
O5312,M2022,Grocery,Bonus Points,10,500,2024-07-20,2024-10-18
O5313,M2069,Entertainment,Cashback,15,0,2024-01-06,2024-02-05
O5314,M2040,Fuel,Discount,25,0,2024-12-02,2025-03-02
O5315,M2145,Entertainment,Bonus Points,15,500,2025-04-30,2025-06-14
O5316,M2119,Electronics,Statement Credit,10,500,2024-07-17,2024-10-15
O5317,M2089,Retail,Discount,10,0,2024-08-11,2024-10-10
O5318,M2051,Retail,Statement Credit,5,2000,2024-01-13,2024-01-28
O5319,M2144,Travel,Discount,30,500,2024-01-06,2024-02-05
O5320,M2050,Fuel,Statement Credit,30,500,2025-03-26,2025-04-25
O5321,M2130,Grocery,Bonus Points,30,500,2025-02-14,2025-03-31
O5322,M2054,Retail,Statement Credit,30,0,2024-04-30,2024-06-14
O5323,M2118,Travel,Bonus Points,5,2000,2024-02-14,2024-03-30
O5324,M2112,Dining,Statement Credit,25,0,2024-12-27,2025-01-26
O5325,M2034,Retail,Statement Credit,30,1000,2024-01-26,2024-03-26
O5326,M2067,Travel,Statement Credit,20,1000,2024-01-04,2024-01-19
O5327,M2091,Electronics,Discount,10,500,2024-10-19,2024-12-03
O5328,M2058,Grocery,Cashback,5,500,2024-10-03,2024-11-02
O5329,M2012,Retail,Cashback,15,0,2025-05-13,2025-07-12
O5330,M2061,Entertainment,Discount,30,0,2024-10-10,2024-11-24
O5331,M2093,Electronics,Statement Credit,5,500,2024-07-28,2024-09-11
O5332,M2002,Fuel,Statement Credit,15,1000,2024-10-14,2024-10-29
O5333,M2020,Travel,Discount,5,500,2024-12-24,2025-01-08
O5334,M2103,Grocery,Bonus Points,15,0,2024-06-29,2024-09-27
O5335,M2064,Fuel,Bonus Points,5,0,2024-09-09,2024-10-24
O5336,M2145,Entertainment,Discount,5,1000,2025-02-20,2025-05-21
O5337,M2012,Retail,Cashback,30,500,2024-10-08,2024-11-07
O5338,M2076,Grocery,Bonus Points,25,0,2024-05-24,2024-06-08
O5339,M2108,Entertainment,Discount,20,1000,2025-03-15,2025-05-14
O5340,M2095,Fuel,Bonus Points,10,0,2024-04-25,2024-06-09
O5341,M2092,Travel,Discount,20,500,2024-12-14,2025-01-28
O5342,M2044,Retail,Bonus Points,25,0,2025-04-12,2025-07-11
O5343,M2061,Entertainment,Bonus Points,30,2000,2024-01-30,2024-02-14
O5344,M2029,Entertainment,Discount,15,0,2025-01-11,2025-04-11
O5345,M2013,Fuel,Cashback,20,500,2024-08-29,2024-10-13
O5346,M2009,Dining,Cashback,10,5000,2024-01-05,2024-01-20
O5347,M2005,Health & Wellness,Bonus Points,30,0,2025-01-08,2025-02-22
O5348,M2118,Travel,Bonus Points,10,1000,2024-09-18,2024-10-03
O5349,M2018,Fuel,Cashback,15,0,2024-04-15,2024-05-30
O5350,M2011,Retail,Discount,10,0,2024-05-03,2024-07-02
O5351,M2116,Retail,Statement Credit,25,1000,2025-03-21,2025-06-19
O5352,M2102,Fuel,Bonus Points,20,2000,2025-05-13,2025-05-28
O5353,M2113,Retail,Statement Credit,10,500,2025-01-28,2025-04-28
O5354,M2081,Electronics,Bonus Points,20,1000,2024-11-21,2024-12-06
O5355,M2008,Health & Wellness,Cashback,5,1000,2024-05-17,2024-06-01
O5356,M2133,Fuel,Discount,20,500,2024-04-15,2024-04-30
O5357,M2128,Dining,Bonus Points,15,1000,2024-07-31,2024-09-14
O5358,M2092,Travel,Statement Credit,25,0,2024-10-26,2024-11-25
O5359,M2098,Entertainment,Cashback,30,500,2024-02-25,2024-04-10
O5360,M2098,Entertainment,Bonus Points,10,500,2024-05-11,2024-06-10
O5361,M2029,Entertainment,Discount,30,2000,2024-09-25,2024-11-09
O5362,M2034,Retail,Bonus Points,25,0,2024-05-01,2024-05-31
O5363,M2062,Retail,Discount,20,1000,2024-07-20,2024-08-04
O5364,M2149,Retail,Discount,10,0,2024-07-26,2024-08-10
O5365,M2027,Travel,Cashback,25,0,2024-10-01,2024-10-31
O5366,M2145,Entertainment,Bonus Points,15,1000,2025-03-29,2025-04-28
O5367,M2031,Travel,Discount,5,1000,2024-03-30,2024-06-28
O5368,M2068,Fuel,Cashback,5,500,2024-07-08,2024-07-23
O5369,M2109,Fuel,Bonus Points,15,0,2024-09-21,2024-11-05
O5370,M2096,Dining,Discount,30,2000,2024-02-15,2024-05-15
O5371,M2131,Electronics,Cashback,5,0,2024-11-07,2024-12-07
O5372,M2141,Retail,Bonus Points,15,1000,2024-11-25,2025-01-09
O5373,M2014,Entertainment,Discount,20,1000,2024-02-09,2024-04-09
O5374,M2019,Fuel,Cashback,30,1000,2024-03-07,2024-05-06
