exposure_id,customer_id,offer_id,merchant_id,category,exposure_date,redeemed,spend_amount,redemption_date
E1000032,C102860,O5245,M2077,Health & Wellness,2024-04-15,1,3214.53,2024-04-18
E1000033,C100163,O5064,M2144,Travel,2024-10-09,0,0.0,
E1000034,C103919,O5082,M2043,Fuel,2024-01-20,1,943.71,2024-01-30
E1000035,C101714,O5385,M2109,Fuel,2024-05-22,1,2162.44,2024-06-16
E1000036,C103462,O5312,M2022,Grocery,2025-07-11,1,890.62,2025-08-02
E1000037,C101440,O5177,M2126,Grocery,2025-01-13,0,0.0,
E1000038,C102095,O5029,M2050,Fuel,2024-06-22,0,0.0,
E1000039,C100800,O5377,M2067,Travel,2024-02-05,0,0.0,
E1000040,C102765,O5059,M2091,Electronics,2025-05-26,0,0.0,
E1000041,C102660,O5395,M2094,Grocery,2025-02-06,0,0.0,
E1000042,C101690,O5005,M2073,Grocery,2024-04-27,1,692.68,2024-05-14
E1000043,C100233,O5004,M2058,Grocery,2024-02-28,0,0.0,
E1000044,C101876,O5165,M2013,Fuel,2024-05-25,1,3407.53,2024-05-30
E1000045,C100961,O5438,M2015,Retail,2024-11-10,1,657.52,2024-11-13
E1000046,C103370,O5063,M2012,Retail,2024-03-29,0,0.0,
E1000047,C101045,O5133,M2148,Retail,2025-01-23,1,501.68,2025-02-21
E1000048,C104481,O5013,M2013,Fuel,2025-04-03,0,0.0,
E1000049,C104459,O5563,M2103,Grocery,2024-06-09,0,0.0,
E1000050,C101407,O5177,M2126,Grocery,2025-04-19,0,0.0,
E1000051,C100207,O5272,M2039,Health & Wellness,2024-01-05,0,0.0,
E1000052,C104370,O5547,M2127,Retail,2025-06-02,0,0.0,
E1000053,C101752,O5073,M2089,Retail,2025-06-09,1,491.82,2025-06-18
E1000054,C100495,O5346,M2009,Dining,2025-07-12,1,6561.6,2025-07-17
E1000055,C100901,O5560,M2125,Retail,2025-05-13,1,1185.42,2025-05-19
E1000056,C103598,O5435,M2141,Retail,2025-04-15,0,0.0,
E1000057,C102206,O5196,M2135,Dining,2024-08-21,1,4397.56,2024-09-13
E1000058,C101749,O5208,M2112,Dining,2024-12-07,0,0.0,
E1000059,C100459,O5030,M2093,Electronics,2025-04-12,0,0.0,
E1000060,C104489,O5184,M2042,Dining,2024-09-07,0,0.0,
E1000061,C100916,O5589,M2141,Retail,2024-03-08,0,0.0,
E1000062,C104259,O5470,M2060,Entertainment,2024-11-04,1,2173.05,2024-11-19
E1000063,C104734,O5107,M2144,Travel,2025-05-06,0,0.0,
E1000064,C103401,O5430,M2031,Travel,2024-07-28,0,0.0,
E1000065,C104665,O5587,M2122,Health & Wellness,2025-07-10,0,0.0,
E1000066,C102194,O5277,M2138,Travel,2024-06-10,1,499.27,2024-06-20
E1000067,C100959,O5285,M2132,Travel,2024-10-06,0,0.0,
E1000068,C104863,O5415,M2072,Electronics,2024-12-10,0,0.0,
E1000069,C102157,O5165,M2013,Fuel,2024-02-02,0,0.0,
E1000070,C100393,O5129,M2019,Fuel,2025-01-04,0,0.0,
E1000071,C103632,O5222,M2021,Travel,2025-04-21,0,0.0,
E1000072,C104538,O5575,M2032,Retail,2024-10-23,0,0.0,
E1000073,C104058,O5411,M2076,Grocery,2024-04-10,0,0.0,
E1000074,C104842,O5514,M2058,Grocery,2025-05-08,1,334.43,2025-05-25
E1000075,C102177,O5442,M2072,Electronics,2025-01-06,0,0.0,
E1000076,C101866,O5147,M2094,Grocery,2024-10-14,0,0.0,
E1000077,C101799,O5098,M2033,Electronics,2024-08-29,1,981.64,2024-09-06
E1000078,C100504,O5445,M2108,Entertainment,2024-10-01,1,867.87,2024-10-17
E1000079,C100719,O5446,M2043,Fuel,2024-03-07,1,1310.89,2024-03-12
E1000080,C101987,O5530,M2047,Dining,2025-04-25,0,0.0,
E1000081,C100874,O5458,M2012,Retail,2025-01-09,0,0.0,
E1000082,C102878,O5069,M2124,Electronics,2025-02-21,0,0.0,
E1000083,C100633,O5494,M2036,Electronics,2024-03-31,0,0.0,
E1000084,C104377,O5445,M2108,Entertainment,2025-01-26,0,0.0,
E1000085,C102420,O5077,M2009,Dining,2024-03-17,1,477.55,2024-04-10
E1000086,C101324,O5013,M2013,Fuel,2025-06-02,0,0.0,
E1000087,C101008,O5192,M2144,Travel,2024-02-22,0,0.0,
E1000088,C102333,O5437,M2135,Dining,2024-12-22,0,0.0,
E1000089,C101139,O5380,M2124,Electronics,2024-09-09,1,513.31,2024-09-24
E1000090,C103220,O5187,M2041,Retail,2024-01-26,1,1062.43,2024-02-19
E1000091,C100403,O5030,M2093,Electronics,2024-07-24,0,0.0,
E1000092,C103753,O5556,M2096,Dining,2024-02-14,0,0.0,
E1000093,C103190,O5201,M2135,Dining,2024-07-27,0,0.0,
E1000094,C100695,O5224,M2047,Dining,2025-06-06,0,0.0,
E1000095,C100907,O5591,M2070,Fuel,2024-12-15,1,395.47,2024-12-27
E1000096,C103847,O5019,M2043,Fuel,2025-04-08,0,0.0,
E1000097,C103164,O5464,M2104,Fuel,2024-04-10,0,0.0,
E1000098,C101926,O5177,M2126,Grocery,2024-12-08,1,557.97,2025-01-05
E1000099,C100120,O5200,M2066,Retail,2024-09-24,1,1092.45,2024-10-17
E1000100,C102865,O5334,M2103,Grocery,2024-05-09,0,0.0,
E1000101,C103731,O5179,M2026,Retail,2024-10-17,0,0.0,
E1000102,C103915,O5301,M2033,Electronics,2025-02-15,0,0.0,
E1000103,C103591,O5077,M2009,Dining,2025-07-10,0,0.0,
E1000104,C103576,O5456,M2113,Retail,2024-01-19,1,409.36,2024-01-20
E1000105,C104486,O5416,M2078,Fuel,2024-06-22,1,611.16,2024-07-07
E1000106,C102414,O5056,M2055,Travel,2025-02-01,0,0.0,
E1000107,C100840,O5294,M2125,Retail,2024-02-01,1,452.11,2024-02-05
E1000108,C102805,O5352,M2102,Fuel,2025-02-16,1,9973.26,2025-03-04
E1000109,C103306,O5368,M2068,Fuel,2024-04-12,1,536.04,2024-04-20
E1000110,C103433,O5337,M2012,Retail,2025-04-24,1,503.61,2025-05-05
E1000111,C101465,O5441,M2022,Grocery,2024-05-14,0,0.0,
E1000112,C101856,O5331,M2093,Electronics,2024-09-28,0,0.0,
E1000113,C102235,O5472,M2006,Travel,2024-04-02,0,0.0,
E1000114,C100403,O5026,M2114,Grocery,2024-04-16,0,0.0,
E1000115,C100412,O5244,M2009,Dining,2024-10-03,1,769.35,2024-10-29
E1000116,C101537,O5191,M2083,Fuel,2025-01-13,0,0.0,
E1000117,C104249,O5204,M2016,Health & Wellness,2025-03-30,0,0.0,
E1000118,C100216,O5574,M2115,Health & Wellness,2024-03-05,0,0.0,
E1000119,C101024,O5405,M2080,Grocery,2024-09-11,0,0.0,
E1000120,C102813,O5001,M2049,Fuel,2024-03-30,0,0.0,
E1000121,C104894,O5206,M2057,Health & Wellness,2024-10-01,0,0.0,
E1000122,C100805,O5317,M2089,Retail,2024-02-03,0,0.0,
E1000123,C103349,O5108,M2059,Health & Wellness,2024-11-24,0,0.0,
E1000124,C102816,O5302,M2137,Grocery,2024-08-13,0,0.0,
E1000125,C102809,O5147,M2094,Grocery,2024-11-04,0,0.0,
E1000126,C101271,O5524,M2144,Travel,2024-02-23,1,1009.54,2024-02-26
E1000127,C100433,O5154,M2141,Retail,2024-05-01,0,0.0,
E1000128,C100428,O5105,M2063,Grocery,2025-06-25,0,0.0,
E1000129,C101187,O5414,M2124,Electronics,2024-06-19,0,0.0,
E1000130,C104257,O5533,M2059,Health & Wellness,2024-05-25,0,0.0,
E1000131,C102554,O5031,M2109,Fuel,2024-05-28,1,588.54,2024-05-30
E1000132,C102312,O5319,M2144,Travel,2024-03-19,1,839.41,2024-04-11
E1000133,C101995,O5021,M2103,Grocery,2024-01-03,0,0.0,
E1000134,C102157,O5489,M2001,Entertainment,2024-07-04,1,630.57,2024-07-21
E1000135,C104995,O5046,M2055,Travel,2025-01-19,0,0.0,
E1000136,C101742,O5000,M2125,Retail,2024-05-23,0,0.0,
E1000137,C101342,O5463,M2072,Electronics,2024-11-01,0,0.0,
E1000138,C101155,O5170,M2024,Travel,2024-03-01,0,0.0,
E1000139,C103204,O5342,M2044,Retail,2025-03-20,1,879.39,2025-04-05
E1000140,C100393,O5037,M2035,Fuel,2024-02-27,0,0.0,
E1000141,C103642,O5424,M2121,Fuel,2024-12-04,1,394.36,2024-12-29
E1000142,C104817,O5483,M2062,Retail,2025-01-08,0,0.0,
E1000143,C102040,O5397,M2036,Electronics,2025-02-11,1,838.61,2025-03-03
E1000144,C102078,O5234,M2023,Electronics,2024-01-21,1,4609.17,2024-02-02
E1000145,C102864,O5362,M2034,Retail,2024-12-09,0,0.0,
E1000146,C103461,O5514,M2058,Grocery,2025-05-17,0,0.0,
E1000147,C104256,O5299,M2020,Travel,2024-03-21,0,0.0,
E1000148,C101329,O5135,M2115,Health & Wellness,2024-09-15,0,0.0,
E1000149,C101646,O5448,M2014,Entertainment,2024-04-01,0,0.0,
E1000150,C102655,O5084,M2124,Electronics,2024-04-18,0,0.0,
E1000151,C102385,O5317,M2089,Retail,2024-11-10,1,484.84,2024-11-13
E1000152,C102837,O5075,M2016,Health & Wellness,2024-12-22,0,0.0,
E1000153,C104432,O5085,M2144,Travel,2025-07-04,0,0.0,
E1000154,C103305,O5211,M2027,Travel,2024-10-28,0,0.0,
E1000155,C103320,O5188,M2096,Dining,2024-07-23,0,0.0,
E1000156,C103876,O5507,M2072,Electronics,2025-04-01,1,264.35,2025-04-03
E1000157,C103526,O5262,M2082,Dining,2025-01-25,0,0.0,
E1000158,C104158,O5340,M2095,Fuel,2024-11-11,1,743.35,2024-12-09
E1000159,C104914,O5315,M2145,Entertainment,2025-03-12,0,0.0,
E1000160,C102304,O5021,M2103,Grocery,2025-02-25,1,3876.74,2025-03-19
E1000161,C101271,O5404,M2048,Retail,2024-06-07,1,1418.83,2024-06-20
E1000162,C101287,O5508,M2011,Retail,2024-09-06,0,0.0,
E1000163,C104944,O5012,M2098,Entertainment,2024-03-18,0,0.0,
E1000164,C100360,O5236,M2003,Dining,2025-02-03,0,0.0,
E1000165,C101974,O5472,M2006,Travel,2024-10-02,0,0.0,
E1000166,C102927,O5043,M2074,Dining,2024-12-02,0,0.0,
E1000167,C103464,O5280,M2067,Travel,2024-04-22,0,0.0,
E1000168,C102226,O5351,M2116,Retail,2024-05-05,1,1146.5,2024-05-20
E1000169,C101850,O5054,M2045,Fuel,2024-06-04,1,524.19,2024-06-27
E1000170,C102546,O5540,M2067,Travel,2025-04-15,0,0.0,
E1000171,C102724,O5079,M2027,Travel,2025-05-09,0,0.0,
E1000172,C103674,O5328,M2058,Grocery,2024-01-01,1,943.56,2024-01-05
E1000173,C103905,O5508,M2011,Retail,2024-01-20,0,0.0,
E1000174,C103775,O5587,M2122,Health & Wellness,2025-03-10,0,0.0,
E1000175,C104387,O5345,M2013,Fuel,2025-03-18,0,0.0,
E1000176,C104683,O5502,M2083,Fuel,2024-05-25,0,0.0,
E1000177,C100817,O5398,M2088,Health & Wellness,2024-06-23,0,0.0,
E1000178,C102146,O5323,M2118,Travel,2024-08-23,0,0.0,
E1000179,C100180,O5043,M2074,Dining,2025-04-28,0,0.0,
E1000180,C104469,O5549,M2013,Fuel,2025-04-23,0,0.0,
E1000181,C104719,O5111,M2137,Grocery,2024-09-04,1,4903.52,2024-09-06
E1000182,C104958,O5267,M2078,Fuel,2024-10-07,0,0.0,
E1000183,C100441,O5315,M2145,Entertainment,2024-02-04,0,0.0,
E1000184,C102292,O5213,M2105,Entertainment,2024-04-22,1,718.03,2024-04-24
E1000185,C101662,O5506,M2054,Retail,2024-09-15,1,857.93,2024-10-04
E1000186,C100870,O5349,M2018,Fuel,2024-02-10,0,0.0,
E1000187,C102874,O5014,M2148,Retail,2024-01-11,0,0.0,
E1000188,C102499,O5580,M2100,Grocery,2024-09-09,0,0.0,
E1000189,C103212,O5451,M2120,Entertainment,2025-03-04,0,0.0,
E1000190,C101656,O5089,M2029,Entertainment,2025-01-07,1,635.09,2025-01-22
E1000191,C101896,O5170,M2024,Travel,2024-06-17,0,0.0,
E1000192,C101089,O5274,M2021,Travel,2025-03-17,0,0.0,
E1000193,C100482,O5589,M2141,Retail,2024-05-25,0,0.0,
E1000194,C100308,O5346,M2009,Dining,2025-04-16,0,0.0,
E1000195,C100592,O5119,M2117,Dining,2024-09-12,0,0.0,
E1000196,C103843,O5165,M2013,Fuel,2025-05-28,0,0.0,
E1000197,C101018,O5281,M2088,Health & Wellness,2024-07-30,1,3105.21,2024-08-05
E1000198,C104493,O5214,M2066,Retail,2024-02-04,0,0.0,
E1000199,C104564,O5361,M2029,Entertainment,2024-09-12,1,2303.74,2024-09-13
E1000200,C104712,O5497,M2039,Health & Wellness,2025-05-02,0,0.0,
E1000201,C104192,O5316,M2119,Electronics,2025-02-05,0,0.0,
E1000202,C103261,O5501,M2026,Retail,2024-03-24,0,0.0,
E1000203,C104290,O5204,M2016,Health & Wellness,2024-10-14,1,349.45,2024-11-11
E1000204,C101357,O5359,M2098,Entertainment,2024-03-08,0,0.0,
E1000205,C100082,O5487,M2095,Fuel,2024-03-25,0,0.0,
E1000206,C100250,O5439,M2113,Retail,2025-01-13,0,0.0,
E1000207,C101093,O5284,M2071,Entertainment,2024-06-08,0,0.0,
E1000208,C102387,O5014,M2148,Retail,2024-02-11,0,0.0,
E1000209,C101408,O5340,M2095,Fuel,2025-01-27,0,0.0,
E1000210,C101481,O5141,M2093,Electronics,2025-06-16,0,0.0,
E1000211,C103211,O5474,M2069,Entertainment,2024-07-25,1,1622.2,2024-08-04
E1000212,C101098,O5283,M2072,Electronics,2024-08-05,0,0.0,
E1000213,C104195,O5035,M2067,Travel,2024-04-05,0,0.0,
E1000214,C103728,O5393,M2084,Travel,2025-02-11,0,0.0,
E1000215,C103892,O5181,M2148,Retail,2024-06-26,1,571.68,2024-07-02
E1000216,C100732,O5392,M2102,Fuel,2024-12-03,1,588.25,2024-12-19
E1000217,C100322,O5219,M2003,Dining,2024-10-15,0,0.0,
E1000218,C102057,O5381,M2063,Grocery,2025-03-27,0,0.0,
E1000219,C103060,O5447,M2142,Entertainment,2024-04-24,1,321.66,2024-04-26
E1000220,C103700,O5082,M2043,Fuel,2024-12-10,0,0.0,
E1000221,C103384,O5056,M2055,Travel,2024-11-16,0,0.0,
E1000222,C101261,O5588,M2063,Grocery,2025-01-25,1,3455.91,2025-02-08
E1000223,C100805,O5178,M2069,Entertainment,2024-01-13,0,0.0,
E1000224,C101533,O5318,M2051,Retail,2024-03-15,0,0.0,
E1000225,C102041,O5316,M2119,Electronics,2024-03-24,1,925.88,2024-04-22
E1000226,C104225,O5322,M2054,Retail,2025-04-07,1,592.85,2025-05-06
E1000227,C103824,O5027,M2025,Entertainment,2024-08-04,1,494.99,2024-08-24
E1000228,C103456,O5013,M2013,Fuel,2024-11-09,1,508.74,2024-11-18
E1000229,C103664,O5245,M2077,Health & Wellness,2025-04-29,0,0.0,
E1000230,C103096,O5533,M2059,Health & Wellness,2024-01-02,0,0.0,
E1000231,C104659,O5222,M2021,Travel,2025-01-23,0,0.0,
E1000232,C101353,O5256,M2108,Entertainment,2024-10-22,0,0.0,
E1000233,C100148,O5221,M2041,Retail,2024-10-04,0,0.0,
E1000234,C101783,O5053,M2099,Dining,2025-04-30,0,0.0,
E1000235,C102275,O5111,M2137,Grocery,2024-11-04,1,1532.98,2024-12-02
E1000236,C100614,O5474,M2069,Entertainment,2025-04-09,0,0.0,
E1000237,C101824,O5084,M2124,Electronics,2024-12-05,0,0.0,
E1000238,C100239,O5067,M2082,Dining,2024-06-25,1,483.89,2024-07-24
E1000239,C100912,O5126,M2132,Travel,2024-08-16,1,2132.53,2024-09-12
E1000240,C103013,O5193,M2004,Entertainment,2024-05-26,1,506.81,2024-06-13
E1000241,C103753,O5100,M2061,Entertainment,2024-08-06,0,0.0,
E1000242,C100158,O5070,M2001,Entertainment,2025-06-17,0,0.0,
E1000243,C104658,O5065,M2080,Grocery,2025-05-09,0,0.0,
E1000244,C104571,O5203,M2004,Entertainment,2024-12-28,0,0.0,
E1000245,C100547,O5130,M2080,Grocery,2024-10-08,0,0.0,
E1000246,C102900,O5000,M2125,Retail,2024-06-14,1,298.15,2024-06-21
E1000247,C102265,O5034,M2038,Health & Wellness,2024-09-10,0,0.0,
E1000248,C100754,O5498,M2024,Travel,2025-01-25,0,0.0,
E1000249,C100734,O5135,M2115,Health & Wellness,2024-06-17,0,0.0,
E1000250,C103791,O5260,M2098,Entertainment,2024-12-12,0,0.0,
E1000251,C102828,O5311,M2003,Dining,2024-01-01,0,0.0,
E1000252,C104317,O5286,M2065,Electronics,2024-06-26,0,0.0,
E1000253,C102335,O5089,M2029,Entertainment,2024-03-12,0,0.0,
E1000254,C101924,O5256,M2108,Entertainment,2024-11-14,0,0.0,
E1000255,C100523,O5396,M2134,Fuel,2024-01-03,0,0.0,
E1000256,C101510,O5543,M2046,Fuel,2024-02-04,1,1301.5,2024-02-22
E1000257,C102746,O5452,M2022,Grocery,2025-07-07,1,363.72,2025-07-21
E1000258,C104776,O5595,M2101,Travel,2024-09-21,0,0.0,
E1000259,C100617,O5306,M2066,Retail,2024-11-15,0,0.0,
E1000260,C100860,O5091,M2031,Travel,2024-09-01,0,0.0,
E1000261,C104488,O5390,M2008,Health & Wellness,2024-06-26,1,583.77,2024-07-19
E1000262,C101307,O5379,M2032,Retail,2024-10-27,0,0.0,
E1000263,C102900,O5057,M2028,Travel,2024-05-05,1,260.28,2024-05-27
E1000264,C102821,O5460,M2136,Dining,2025-04-24,0,0.0,
E1000265,C103865,O5287,M2084,Travel,2024-05-23,0,0.0,
E1000266,C103314,O5493,M2115,Health & Wellness,2024-09-25,0,0.0,
E1000267,C100034,O5017,M2083,Fuel,2024-07-08,0,0.0,
E1000268,C102100,O5173,M2036,Electronics,2024-11-19,0,0.0,
E1000269,C101379,O5519,M2045,Fuel,2025-03-13,0,0.0,
E1000270,C104245,O5220,M2120,Entertainment,2024-07-24,0,0.0,
E1000271,C100436,O5281,M2088,Health & Wellness,2025-05-15,0,0.0,
E1000272,C104545,O5529,M2045,Fuel,2025-05-08,0,0.0,
E1000273,C102572,O5430,M2031,Travel,2024-11-03,0,0.0,
E1000274,C104362,O5489,M2001,Entertainment,2025-05-01,1,553.44,2025-05-08
E1000275,C103979,O5560,M2125,Retail,2024-12-29,0,0.0,
E1000276,C100308,O5441,M2022,Grocery,2025-01-29,1,638.88,2025-02-23
E1000277,C104360,O5343,M2061,Entertainment,2024-10-24,1,1717.32,2024-11-22
E1000278,C100491,O5277,M2138,Travel,2024-06-12,1,1007.07,2024-06-30
E1000279,C100521,O5479,M2012,Retail,2024-07-14,0,0.0,
E1000280,C101914,O5098,M2033,Electronics,2025-01-01,1,1365.96,2025-01-06
E1000281,C102925,O5408,M2019,Fuel,2025-05-23,0,0.0,
E1000282,C101368,O5589,M2141,Retail,2024-10-23,0,0.0,
E1000283,C103290,O5427,M2026,Retail,2024-05-08,0,0.0,
E1000284,C102141,O5156,M2148,Retail,2024-08-27,0,0.0,
E1000285,C103229,O5518,M2008,Health & Wellness,2024-12-24,1,417.42,2025-01-14
E1000286,C104129,O5383,M2145,Entertainment,2025-06-22,1,1079.88,2025-07-17
E1000287,C102848,O5280,M2067,Travel,2025-01-20,0,0.0,
E1000288,C103577,O5519,M2045,Fuel,2025-03-01,1,2129.37,2025-03-26
E1000289,C102571,O5386,M2019,Fuel,2025-05-13,0,0.0,
E1000290,C100232,O5286,M2065,Electronics,2024-03-29,0,0.0,
E1000291,C101622,O5455,M2031,Travel,2024-07-26,1,390.98,2024-08-03
E1000292,C102652,O5067,M2082,Dining,2025-04-15,0,0.0,
E1000293,C101216,O5134,M2133,Fuel,2024-04-27,0,0.0,
E1000294,C103539,O5141,M2093,Electronics,2024-08-13,0,0.0,
E1000295,C100521,O5417,M2112,Dining,2024-06-24,1,824.89,2024-07-04
E1000296,C104732,O5196,M2135,Dining,2024-03-28,0,0.0,
E1000297,C102834,O5523,M2109,Fuel,2025-01-30,0,0.0,
E1000298,C103066,O5036,M2039,Health & Wellness,2024-05-23,1,701.27,2024-06-14
E1000299,C103199,O5282,M2148,Retail,2024-12-12,1,1336.29,2024-12-27
E1000300,C100340,O5084,M2124,Electronics,2025-02-12,0,0.0,
E1000301,C102744,O5376,M2098,Entertainment,2025-02-11,0,0.0,
E1000302,C103946,O5588,M2063,Grocery,2025-02-01,0,0.0,
E1000303,C103938,O5545,M2031,Travel,2025-05-06,1,224.45,2025-05-13
E1000304,C100058,O5559,M2036,Electronics,2025-06-20,0,0.0,
E1000305,C103253,O5016,M2000,Grocery,2024-05-02,0,0.0,
E1000306,C104681,O5270,M2142,Entertainment,2024-04-09,0,0.0,
E1000307,C100242,O5537,M2149,Retail,2024-09-28,1,741.22,2024-10-09
E1000308,C100227,O5098,M2033,Electronics,2024-02-09,0,0.0,
E1000309,C104613,O5139,M2035,Fuel,2024-06-16,0,0.0,
E1000310,C102602,O5507,M2072,Electronics,2024-04-17,0,0.0,
E1000311,C100126,O5021,M2103,Grocery,2025-03-10,1,2629.8,2025-03-27
E1000312,C104430,O5227,M2147,Grocery,2024-09-11,1,2757.77,2024-09-22
E1000313,C104853,O5212,M2088,Health & Wellness,2025-01-26,0,0.0,
E1000314,C101431,O5352,M2102,Fuel,2024-07-24,1,3311.88,2024-08-17
E1000315,C102168,O5073,M2089,Retail,2024-12-07,1,835.47,2024-12-22
E1000316,C103959,O5390,M2008,Health & Wellness,2024-08-08,1,281.79,2024-08-13
E1000317,C102748,O5250,M2056,Retail,2024-03-14,0,0.0,
E1000318,C101308,O5539,M2129,Dining,2025-05-01,0,0.0,
E1000319,C102125,O5465,M2128,Dining,2024-04-04,1,1040.92,2024-04-05
E1000320,C101593,O5305,M2087,Dining,2025-05-26,0,0.0,
E1000321,C104079,O5364,M2149,Retail,2024-01-18,1,323.95,2024-02-07
E1000322,C101493,O5463,M2072,Electronics,2025-04-24,0,0.0,
E1000323,C102030,O5265,M2099,Dining,2024-10-19,0,0.0,
E1000324,C103252,O5487,M2095,Fuel,2025-02-12,0,0.0,
E1000325,C104360,O5512,M2114,Grocery,2024-08-30,1,689.33,2024-09-25
E1000326,C104777,O5072,M2019,Fuel,2024-11-16,0,0.0,
E1000327,C100246,O5211,M2027,Travel,2025-01-21,0,0.0,
E1000328,C104519,O5593,M2064,Fuel,2024-03-09,1,429.82,2024-03-14
E1000329,C101082,O5164,M2055,Travel,2024-03-19,0,0.0,
E1000330,C104928,O5442,M2072,Electronics,2024-04-25,0,0.0,
E1000331,C101481,O5395,M2094,Grocery,2025-01-06,0,0.0,
E1000332,C100010,O5523,M2109,Fuel,2024-12-23,0,0.0,
E1000333,C102006,O5567,M2122,Health & Wellness,2025-02-14,0,0.0,
E1000334,C103441,O5203,M2004,Entertainment,2024-10-23,0,0.0,
E1000335,C103529,O5439,M2113,Retail,2025-02-24,1,506.21,2025-03-11
E1000336,C102292,O5311,M2003,Dining,2025-02-06,1,620.73,2025-02-15
E1000337,C100944,O5506,M2054,Retail,2024-04-13,0,0.0,
E1000338,C100434,O5106,M2051,Retail,2024-09-26,0,0.0,
E1000339,C103491,O5544,M2042,Dining,2025-01-10,0,0.0,
E1000340,C102289,O5189,M2003,Dining,2025-02-04,0,0.0,
E1000341,C103343,O5473,M2144,Travel,2024-05-06,0,0.0,
E1000342,C102566,O5513,M2067,Travel,2024-06-28,0,0.0,
E1000343,C101759,O5051,M2140,Health & Wellness,2024-12-22,0,0.0,
E1000344,C103875,O5592,M2148,Retail,2024-03-01,0,0.0,
E1000345,C102228,O5350,M2011,Retail,2024-04-22,1,342.4,2024-04-25
E1000346,C100267,O5379,M2032,Retail,2025-05-30,0,0.0,
E1000347,C102198,O5092,M2019,Fuel,2024-07-07,1,2591.98,2024-07-14
E1000348,C103687,O5458,M2012,Retail,2025-03-06,1,998.21,2025-03-16
E1000349,C104477,O5492,M2122,Health & Wellness,2024-05-07,0,0.0,
E1000350,C100514,O5131,M2018,Fuel,2024-04-07,1,229.91,2024-04-27
E1000351,C101743,O5007,M2024,Travel,2024-02-25,0,0.0,
E1000352,C100929,O5355,M2008,Health & Wellness,2024-04-13,0,0.0,
E1000353,C103931,O5330,M2061,Entertainment,2024-03-03,0,0.0,
E1000354,C101448,O5395,M2094,Grocery,2025-01-26,0,0.0,
E1000355,C103887,O5217,M2011,Retail,2024-04-28,0,0.0,
E1000356,C100198,O5346,M2009,Dining,2024-10-09,0,0.0,
E1000357,C102055,O5506,M2054,Retail,2024-11-18,0,0.0,
E1000358,C101780,O5358,M2092,Travel,2024-02-28,0,0.0,
E1000359,C104900,O5332,M2002,Fuel,2025-01-23,0,0.0,
E1000360,C104422,O5080,M2060,Entertainment,2024-07-15,1,348.32,2024-08-10
E1000361,C101713,O5579,M2051,Retail,2025-05-08,0,0.0,
E1000362,C103092,O5063,M2012,Retail,2024-09-21,0,0.0,
E1000363,C103504,O5539,M2129,Dining,2024-01-03,1,1302.54,2024-01-30
E1000364,C102567,O5595,M2101,Travel,2025-03-19,0,0.0,
E1000365,C100929,O5454,M2108,Entertainment,2024-12-06,0,0.0,
E1000366,C104625,O5503,M2043,Fuel,2025-03-01,0,0.0,
