merchant_id,merchant_name,category,region
M2122,"Pierce, Graham and Rodriguez",Health & Wellness,South
M2123,"Boone, Coleman and Hoffman",Travel,North
M2124,Howell PLC,Electronics,West
M2125,Roberts-Mccarty,Retail,North
M2126,Allen PLC,Grocery,West
M2127,Leon Group,Retail,East
M2128,Cooper and Sons,Dining,South
M2129,Roy-Durham,Dining,North
M2130,"English, Taylor and Williams",Grocery,East
M2131,Brewer PLC,Electronics,East
M2132,"Martinez, Garcia and Wood",Travel,North
M2133,"Benson, Obrien and Williams",Fuel,Central
M2134,Kaiser-Carpenter,Fuel,Central
M2135,Pratt LLC,Dining,West
M2136,"White, Smith and Cowan",Dining,East
M2137,Aguilar-Martin,Grocery,South
M2138,"Mccarthy, Hanson and Garrett",Travel,South
M2139,"Armstrong, Bennett and Deleon",Health & Wellness,East
M2140,Greer-May,Health & Wellness,Central
M2141,"Reese, Lowe and Juarez",Retail,East
M2142,Davis-Boyd,Entertainment,West
M2143,Nichols LLC,Grocery,East
M2144,"Cruz, Crane and Wright",Travel,North
M2145,Cunningham-Phillips,Entertainment,Central
M2146,"Clay, Hudson and Sparks",Fuel,North
M2147,Ashley and Sons,Grocery,North
M2148,Lopez and Sons,Retail,East
M2149,Deleon-Parsons,Retail,East
