customer_id,recency_days,frequency,monetary,cluster,segment,age,gender,city,income_bracket,tenure_months,card_type
C100154,167.0,4.0,26929.309999999998,3,"Champions (high-value, engaged)",29,M,Lake Jason,Affluent,72,Green
C100155,-5.0,5.0,3331.0099999999998,3,"Champions (high-value, engaged)",44,M,Russellside,Mid,125,Platinum
C100156,396.0,1.0,1785.55,2,At-Risk / Lapsing,44,M,Perryborough,High,30,Gold
C100157,223.0,2.0,1356.35,0,Steady Redeemers,43,M,Priceshire,High,172,Gold
C100158,171.0,2.0,991.74,0,Steady Redeemers,24,F,Port Nicoleshire,Mid,53,Gold
C100159,125.0,4.0,10489.56,3,"Champions (high-value, engaged)",31,M,Woodsstad,High,138,Gold
C100160,-15.0,4.0,3208.52,3,"Champions (high-value, engaged)",53,F,Karenchester,Mid,87,Green
C100161,52.0,2.0,1254.84,0,Steady Redeemers,30,M,South Jeffrey,Mid,180,Gold
C100162,192.0,5.0,4859.06,3,"Champions (high-value, engaged)",55,F,Tuckerfurt,Mid,177,Centurion
C100163,6.0,8.0,10532.67,3,"Champions (high-value, engaged)",31,F,Elizabethfurt,Mid,139,Gold
C100164,251.0,4.0,4314.59,3,"Champions (high-value, engaged)",39,F,Port Tanner,Low,164,Green
C100165,262.0,3.0,9857.52,0,Steady Redeemers,35,F,New Amanda,High,161,Platinum
C100166,199.0,5.0,14718.58,3,"Champions (high-value, engaged)",28,F,Vargastown,Mid,175,Green
C100167,322.0,4.0,1473.46,2,At-Risk / Lapsing,28,M,Lake Roymouth,Low,13,Green
C100168,66.0,5.0,5586.4,3,"Champions (high-value, engaged)",30,M,North Jorge,Low,40,Platinum
C100169,55.0,6.0,15820.5,3,"Champions (high-value, engaged)",39,F,Jasonmouth,Mid,89,Green
C100170,6.0,3.0,4154.73,0,Steady Redeemers,47,M,Kathleenfurt,High,68,Platinum
C100171,37.0,3.0,908.91,0,Steady Redeemers,38,M,Karenchester,Low,42,Gold
C100172,73.0,3.0,2328.02,0,Steady Redeemers,37,M,Maryfort,Mid,147,Gold
C100173,170.0,5.0,4357.6,3,"Champions (high-value, engaged)",51,M,Lake Amberstad,Mid,94,Gold
C100174,-5.0,1.0,738.3,0,Steady Redeemers,38,M,Lake Casey,Mid,19,Green
C100175,50.0,3.0,4121.610000000001,0,Steady Redeemers,32,M,Port Anthonybury,Low,23,Gold
C100176,312.0,1.0,3360.02,2,At-Risk / Lapsing,27,M,Port Andrew,High,54,Centurion
C100177,1.0,4.0,5586.16,3,"Champions (high-value, engaged)",51,M,East David,Mid,65,Platinum
C100178,91.0,4.0,5194.62,3,"Champions (high-value, engaged)",34,M,New Staciemouth,Affluent,140,Gold
C100179,212.0,3.0,1904.88,0,Steady Redeemers,31,F,Katieburgh,Low,24,Centurion
C100180,17.0,2.0,917.59,0,Steady Redeemers,30,M,Port Loriport,Mid,34,Green
C100181,56.0,4.0,2961.2400000000002,3,"Champions (high-value, engaged)",51,F,New Anthonyport,Low,53,Green
C100182,27.0,7.0,17514.04,3,"Champions (high-value, engaged)",31,M,Sandersborough,Affluent,136,Green
C100183,560.0,0.0,0.0,1,Low-Engagement / New,48,F,New Hannahbury,High,18,Gold
C100184,560.0,0.0,0.0,1,Low-Engagement / New,35,M,Lake Kendraville,Mid,57,Platinum
C100185,86.0,10.0,23320.51,3,"Champions (high-value, engaged)",24,F,West Amandastad,High,112,Gold
C100186,-3.0,1.0,810.98,0,Steady Redeemers,34,M,New Deborahtown,High,5,Platinum
C100187,99.0,2.0,896.08,0,Steady Redeemers,37,F,Shortville,Mid,154,Gold
C100188,122.0,4.0,4848.96,3,"Champions (high-value, engaged)",36,M,Yumouth,Mid,158,Green
C100189,379.0,1.0,551.27,2,At-Risk / Lapsing,36,F,South Gregory,Mid,13,Green
C100190,156.0,2.0,950.32,0,Steady Redeemers,34,M,Christinaside,Low,83,Platinum
C100191,77.0,4.0,9340.5,3,"Champions (high-value, engaged)",29,F,Marshallshire,High,29,Green
C100192,228.0,3.0,9766.63,0,Steady Redeemers,38,F,Marcusbury,Affluent,3,Gold
C100193,-18.0,2.0,2263.21,0,Steady Redeemers,43,F,West Nicolebury,Mid,90,Green
C100194,37.0,3.0,10672.529999999999,3,"Champions (high-value, engaged)",21,F,Hudsonfurt,Mid,104,Green
C100195,42.0,3.0,3445.38,0,Steady Redeemers,52,M,Anthonymouth,Mid,123,Gold
C100196,169.0,1.0,713.34,0,Steady Redeemers,21,M,South Jason,High,76,Green
C100197,205.0,5.0,6651.08,3,"Champions (high-value, engaged)",38,F,Matthewview,High,130,Platinum
C100198,134.0,4.0,5809.47,3,"Champions (high-value, engaged)",43,M,New Stacyland,High,108,Gold
C100199,92.0,3.0,6239.929999999999,0,Steady Redeemers,31,F,Lake Richard,High,156,Gold
C100200,52.0,7.0,6072.51,3,"Champions (high-value, engaged)",21,M,Lake Thomas,Mid,82,Gold
C100201,488.0,1.0,1851.57,2,At-Risk / Lapsing,36,F,Westtown,Low,77,Gold
C100202,26.0,3.0,9398.17,3,"Champions (high-value, engaged)",39,F,West Jeffreybury,Low,2,Platinum
C100203,384.0,1.0,1538.94,2,At-Risk / Lapsing,25,M,Elizabethstad,High,127,Green
C100204,103.0,5.0,7679.26,3,"Champions (high-value, engaged)",28,F,Transtad,Mid,135,Green
C100205,12.0,6.0,3666.75,3,"Champions (high-value, engaged)",48,M,Barajasside,Low,26,Green
C100206,88.0,3.0,1506.33,0,Steady Redeemers,39,M,Michaelmouth,Low,88,Platinum
C100207,344.0,3.0,4830.63,2,At-Risk / Lapsing,21,F,Kristopherbury,High,16,Centurion
C100208,38.0,2.0,768.65,0,Steady Redeemers,42,M,Lake Jamesville,Low,151,Green
C100209,332.0,2.0,631.87,2,At-Risk / Lapsing,27,F,East Javier,Low,168,Gold
C100210,-1.0,4.0,4172.89,3,"Champions (high-value, engaged)",29,M,Hillshire,Mid,73,Green
C100211,21.0,8.0,8519.130000000001,3,"Champions (high-value, engaged)",40,F,Tinaborough,High,32,Green
C100212,95.0,3.0,11388.85,3,"Champions (high-value, engaged)",39,M,Jeremyburgh,High,15,Gold
C100213,327.0,1.0,407.36,2,At-Risk / Lapsing,33,M,Alexisside,Mid,141,Green
C100214,-1.0,2.0,2576.29,0,Steady Redeemers,32,M,West Brandon,High,5,Gold
C100215,93.0,3.0,2053.17,0,Steady Redeemers,35,M,New Kellyberg,Mid,74,Gold
C100216,-17.0,1.0,1027.3,0,Steady Redeemers,29,F,Garciatown,Mid,52,Platinum
C100217,81.0,3.0,8565.48,0,Steady Redeemers,49,M,Taylormouth,High,77,Gold
C100218,80.0,4.0,2765.54,3,"Champions (high-value, engaged)",21,F,Jackton,Mid,169,Gold
C100219,47.0,4.0,6039.82,3,"Champions (high-value, engaged)",35,M,Shelleyfort,High,110,Gold
C100220,28.0,8.0,18178.92,3,"Champions (high-value, engaged)",21,M,Port Cameronfort,High,178,Green
C100221,308.0,2.0,980.5799999999999,2,At-Risk / Lapsing,48,M,New Crystalton,Mid,143,Gold
C100222,-4.0,4.0,6026.070000000001,3,"Champions (high-value, engaged)",35,M,East Lisa,Low,106,Green
C100223,192.0,2.0,1462.3600000000001,0,Steady Redeemers,26,M,Christopherbury,Mid,127,Green
C100224,148.0,4.0,2111.19,3,"Champions (high-value, engaged)",45,M,New Kathybury,Mid,7,Gold
C100225,126.0,2.0,1454.53,0,Steady Redeemers,21,F,Hayesmouth,Mid,40,Platinum
C100226,157.0,1.0,808.05,0,Steady Redeemers,41,M,Michellechester,Affluent,156,Green
C100227,120.0,3.0,2675.15,0,Steady Redeemers,50,M,Ashleyton,Mid,160,Green
C100228,128.0,5.0,4127.74,3,"Champions (high-value, engaged)",39,M,Port Jaredborough,High,99,Green
C100229,16.0,4.0,2977.2799999999997,3,"Champions (high-value, engaged)",32,F,Donnaburgh,Mid,143,Green
C100230,215.0,4.0,7289.47,3,"Champions (high-value, engaged)",24,M,East Andrea,High,85,Gold
C100231,176.0,1.0,475.73,0,Steady Redeemers,49,F,North Ricky,Mid,65,Green
C100232,36.0,7.0,8069.33,3,"Champions (high-value, engaged)",48,M,Carterbury,Mid,132,Platinum
C100233,68.0,4.0,6839.64,3,"Champions (high-value, engaged)",30,M,Jasminemouth,Mid,11,Platinum
C100234,182.0,1.0,639.66,0,Steady Redeemers,31,M,Lake Jesusview,Low,108,Gold
C100235,56.0,4.0,4380.04,3,"Champions (high-value, engaged)",51,M,South Danny,High,26,Gold
C100236,15.0,2.0,4468.86,0,Steady Redeemers,43,F,Lake Edward,Mid,165,Green
C100237,43.0,3.0,933.98,0,Steady Redeemers,21,M,Margaretland,Low,151,Green
C100238,182.0,3.0,12199.199999999999,0,Steady Redeemers,35,M,East Laurashire,Mid,85,Gold
C100239,65.0,9.0,5390.73,3,"Champions (high-value, engaged)",35,M,Scottmouth,Low,168,Green
C100240,104.0,2.0,5501.11,0,Steady Redeemers,40,M,Hollyview,Affluent,151,Gold
C100241,190.0,2.0,3782.13,0,Steady Redeemers,38,F,Kimton,Affluent,123,Green
C100242,125.0,6.0,14979.9,3,"Champions (high-value, engaged)",32,F,Navarroview,Affluent,144,Green
C100243,173.0,2.0,901.49,0,Steady Redeemers,39,M,North Jeremyshire,Mid,68,Green
C100244,-2.0,4.0,2183.8199999999997,3,"Champions (high-value, engaged)",33,M,Port Emilyview,Low,104,Green
C100245,246.0,2.0,4188.58,2,At-Risk / Lapsing,75,F,Port Katelynfort,Affluent,80,Platinum
C100246,110.0,6.0,4172.37,3,"Champions (high-value, engaged)",39,F,Moonburgh,Mid,159,Green
C100247,100.0,7.0,23011.71,3,"Champions (high-value, engaged)",37,F,Waltersfort,Affluent,53,Platinum
C100248,145.0,2.0,6272.49,0,Steady Redeemers,58,M,South Michaelmouth,Affluent,106,Gold
C100249,42.0,6.0,13837.95,3,"Champions (high-value, engaged)",22,M,Elizabethburgh,High,153,Platinum
C100250,12.0,5.0,5173.16,3,"Champions (high-value, engaged)",36,F,Robertfort,Mid,44,Gold
C100251,74.0,3.0,7451.06,0,Steady Redeemers,27,F,Elainefurt,Mid,140,Platinum
C100252,15.0,3.0,4748.75,0,Steady Redeemers,44,F,South Christopherview,High,90,Green
C100253,94.0,1.0,508.26,0,Steady Redeemers,32,M,Darrellfurt,Mid,101,Gold
C100254,60.0,7.0,6307.93,3,"Champions (high-value, engaged)",44,F,Lake Mollymouth,Low,97,Green
C100255,560.0,0.0,0.0,1,Low-Engagement / New,43,M,Brownhaven,Mid,9,Gold
C100256,71.0,3.0,5344.389999999999,0,Steady Redeemers,46,M,Cindyfort,Affluent,12,Gold
C100257,8.0,9.0,16362.84,3,"Champions (high-value, engaged)",43,F,Wolfborough,High,69,Gold
C100258,250.0,5.0,7059.96,3,"Champions (high-value, engaged)",35,F,Andreaport,Mid,28,Green
C100259,7.0,6.0,4184.98,3,"Champions (high-value, engaged)",22,F,Gilmorefort,Low,56,Green
C100260,91.0,5.0,5955.11,3,"Champions (high-value, engaged)",49,F,North Teresabury,Mid,99,Gold
C100261,20.0,6.0,18030.71,3,"Champions (high-value, engaged)",53,F,West Andrea,Affluent,110,Gold
C100262,-12.0,2.0,851.88,0,Steady Redeemers,27,F,Davisville,Low,77,Green
C100263,65.0,4.0,6080.53,3,"Champions (high-value, engaged)",46,F,Valentineberg,Mid,103,Platinum
C100264,560.0,0.0,0.0,1,Low-Engagement / New,25,M,Cantuport,High,106,Centurion
C100265,18.0,6.0,12200.92,3,"Champions (high-value, engaged)",40,F,Robertfort,High,109,Platinum
C100266,26.0,3.0,3722.44,0,Steady Redeemers,42,M,Sanchezside,High,112,Platinum
C100267,203.0,4.0,6895.9,3,"Champions (high-value, engaged)",33,F,South James,High,58,Green
C100268,134.0,4.0,1841.96,3,"Champions (high-value, engaged)",39,M,Port Chad,Mid,78,Centurion
C100269,152.0,4.0,7896.26,3,"Champions (high-value, engaged)",47,M,Morganhaven,Mid,75,Gold
C100270,231.0,3.0,4453.7300000000005,0,Steady Redeemers,36,M,Loriport,High,42,Green
